 1948 2011
1948  -0.970  -0.593  -0.751  -0.880  -1.972   1.751  -1.135  -3.303  -2.260  -1.603  -1.559  -1.876
1949  -2.420  -2.552  -0.661  -2.703  -0.577   1.641  -1.498   0.058   0.617  -1.975  -0.409  -4.008
1950  -3.553   0.242  -2.795  -2.217  -0.535  -0.329   2.039  -0.705  -0.263  -0.457  -1.562   0.672
1951   0.608   0.358  -0.958  -3.476  -1.330  -0.568  -0.261  -3.050   0.679  -3.519  -6.533  -2.934
1952  -1.922   1.184  -2.126  -1.916  -2.440  -3.330   1.460  -0.111  -1.738  -1.184  -2.418  -0.897
1953  -0.330  -1.626  -1.141  -3.997  -1.702   0.553  -1.712  -1.051  -1.415  -0.572  -0.942  -0.796
1954   0.459   0.533  -3.739  -0.492  -0.233  -1.091  -1.768  -2.183   1.448   0.620  -1.740  -2.688
1955  -0.032   1.406   0.641  -1.422   0.130   1.185  -0.109  -4.445   0.872  -1.953  -3.183  -1.130
1956  -2.606  -2.258  -0.345  -2.491  -0.946   0.345  -1.743  -2.282  -1.028  -0.025  -2.476  -3.127
1957  -2.587  -1.740   0.613  -2.732  -2.446  -1.898   0.325  -3.146   0.619  -2.256  -4.193  -2.717
1958  -0.263  -1.994  -2.458  -2.392  -2.650   0.098  -3.324   1.300   2.206  -0.638  -1.143   0.352
1959   0.876  -0.666  -0.510  -4.654  -2.055   0.004  -0.318  -1.290   3.049  -1.441   1.973  -0.932
1960  -1.029   0.060   1.758  -1.520  -0.506  -0.147   0.936   0.530   0.850  -0.641  -0.072  -0.648
1961  -1.390  -2.642  -0.857  -1.391  -0.379   0.143  -0.528  -1.814  -0.669   1.844   0.644   1.335
1962   1.584  -2.717  -1.747   1.066   0.218  -1.973   1.681  -0.356  -0.392  -0.481  -3.115   0.344
1963   1.689   1.206   0.740  -0.515  -0.998   0.561  -0.988  -7.774  -3.194  -0.065  -0.184  -0.817
1964  -4.252  -2.001  -1.268   0.051   1.618  -3.190  -5.852  -2.153   1.211  -0.456  -3.723  -3.099
1965  -2.211  -7.926  -1.854  -1.802  -1.861   0.190  -1.246  -1.829   0.301  -0.333   0.049  -2.257
1966   0.038  -2.194  -3.345  -2.306  -1.761   1.679  -2.430   2.746   0.533   0.696  -3.173  -1.822
1967  -4.729  -2.241   0.483  -0.357  -0.377   1.880   0.988   0.939  -0.171  -0.423  -1.899  -1.619
1968  -1.009  -2.288  -0.713  -4.556  -2.422   0.306   1.980  -0.929  -0.997  -2.580  -4.208  -2.701
1969  -5.708  -3.017  -1.059  -3.054  -0.665  -0.984   0.641   1.192   0.753  -0.810   0.157  -1.013
1970   0.364   0.085  -2.315  -2.577  -0.532  -0.064  -0.750   1.392  -1.194  -2.446  -0.709  -2.444
1971  -2.087  -0.085   0.522  -1.986  -3.079   1.025  -1.399   0.277  -0.571  -2.545  -1.260  -2.580
1972  -3.777  -1.558  -2.402  -4.864  -0.768  -1.983  -1.437  -3.823  -0.078  -0.151   1.029  -3.166
1973  -1.680   0.564   0.727  -1.379  -2.531   0.220   0.189   1.722  -0.263   0.271  -1.259   1.811
1974  -0.429   2.206   2.075  -0.702  -0.856  -0.127  -1.025  -4.387   1.902  -1.114  -2.672  -2.550
1975  -2.680  -0.986  -0.514  -0.488  -2.954  -0.993  -2.949   1.094   2.791   0.598  -1.192  -0.211
1976  -1.788   0.478  -0.372   1.621   1.331  -0.408   0.914  -0.162  -0.119  -1.650  -4.870  -7.270
1977  -4.169  -0.070  -1.407  -2.583  -1.734  -1.904  -1.396  -1.583   1.194  -0.100  -0.426  -1.338
1978   1.292  -0.439  -0.446  -1.434  -2.251   0.496  -3.766   3.034   0.963  -0.756  -1.952   0.093
1979   0.396   0.610   1.709  -0.171   0.410   2.032   2.268   0.042   1.365   0.367  -1.851  -2.051
1980  -0.894  -2.702  -4.033  -4.604  -0.470   0.546  -2.870  -1.402  -2.423   0.976  -3.182  -2.065
1981   1.081   1.466  -2.838  -4.384  -0.251   0.406  -1.605  -3.468  -2.525  -1.118   1.169   1.831
1982  -1.221   1.454   3.758   2.479  -1.343   0.119  -0.557   0.848   1.402  -3.148  -1.163  -3.454
1983  -3.782  -1.556   1.233  -0.999  -0.334  -0.187   1.406   0.453  -1.550   1.689   1.837  -0.030
1984  -2.978  -1.582  -0.366  -0.101  -1.311   1.390   0.127  -1.791  -0.972  -1.558   0.445  -3.860
1985  -2.436  -0.359  -0.289   1.114  -0.438  -1.783   2.198   1.555   2.745   0.375   1.402   0.905
1986   0.393  -3.732  -1.342   0.030  -3.884  -0.772  -0.342  -0.214   1.311  -0.934  -0.272   1.989
