date,distance,year,month,day,rank,period
1985-01-26,94562882.38024881,1985,1,26,1,past
1957-03-11,130353706.15992373,1957,3,11,2,past
1977-03-11,170734331.4999763,1977,3,11,3,past
1974-02-22,176599619.9681395,1974,2,22,4,past
1960-02-23,182745460.18433923,1960,2,23,5,past
1959-03-15,201501075.67627737,1959,3,15,6,past
1974-03-25,211222491.06358945,1974,3,25,7,past
1973-02-24,219003491.2669222,1973,2,24,8,past
1954-03-20,226684684.75505763,1954,3,20,9,past
1984-03-03,228348008.49087292,1984,3,3,10,past
1980-12-26,235982472.56801185,1980,12,26,11,past
1970-03-24,245183447.17475256,1970,3,24,12,past
1978-02-04,251605198.56348217,1978,2,4,13,past
1979-02-21,257654210.9872573,1979,2,21,14,past
1982-01-07,259575086.5620291,1982,1,7,15,past
2005-03-20,111748678.8353286,2005,3,20,1,present
2006-01-22,116071581.3662819,2006,1,22,2,present
1989-03-05,124283959.58975378,1989,3,5,3,present
2020-03-13,149740885.56019166,2020,3,13,4,present
2011-02-18,171662552.57098204,2011,2,18,5,present
1996-01-15,182135748.82510787,1996,1,15,6,present
1999-01-11,182142886.15612465,1999,1,11,7,present
1997-01-15,194915491.18075088,1997,1,15,8,present
2002-12-30,200892315.603467,2002,12,30,9,present
2024-12-24,205651840.6713128,2024,12,24,10,present
1989-02-24,214325300.7607192,1989,2,24,11,present
2010-03-08,217103933.61517158,2010,3,8,12,present
1996-03-07,217537399.0608462,1996,3,7,13,present
2011-02-28,219019113.84664473,2011,2,28,14,present
2017-03-17,219405057.38659194,2017,3,17,15,present
