date,distance,year,month,day,rank,period
1985-01-26,222172.3627082209,1985,1,26,1,past
1957-03-11,271706.52235570527,1957,3,11,2,past
1959-03-13,348607.1551712197,1959,3,13,3,past
1977-03-11,373879.8258020375,1977,3,11,4,past
1979-02-21,385019.58891934395,1979,2,21,5,past
1982-01-11,398434.1202703927,1982,1,11,6,past
1987-03-10,413929.9827489558,1987,3,10,7,past
1974-02-22,453336.53652787156,1974,2,22,8,past
1961-02-15,453372.0857178595,1961,2,15,9,past
1965-03-09,456281.4081370014,1965,3,9,10,past
1974-03-25,456709.7609041487,1974,3,25,11,past
1951-03-13,460345.50289656856,1951,3,13,12,past
1962-01-09,461121.21502272517,1962,1,9,13,past
1960-02-23,461521.6006757666,1960,2,23,14,past
1984-03-03,461849.19285201107,1984,3,3,15,past
1959-03-18,464307.42438769224,1959,3,18,16,past
1978-02-04,466526.2038501806,1978,2,4,17,past
1961-03-17,477021.4313598087,1961,3,17,18,past
1982-03-16,502042.1648610841,1982,3,16,19,past
1953-12-25,508126.1995380217,1953,12,25,20,past
1980-12-26,512928.93576874293,1980,12,26,21,past
1973-02-23,537176.6631766161,1973,2,23,22,past
1979-12-27,540682.4546116552,1979,12,27,23,past
1962-03-12,542440.6945227156,1962,3,12,24,past
1986-02-02,548980.5791748792,1986,2,2,25,past
1974-03-06,555021.2758387758,1974,3,6,26,past
1987-02-28,559098.4579699426,1987,2,28,27,past
1970-03-23,566262.664025211,1970,3,23,28,past
1964-03-17,571759.4383051697,1964,3,17,29,past
1982-01-06,577089.6285194709,1982,1,6,30,past
2011-02-28,181971.1421580158,2011,2,28,1,present
1989-03-05,208267.81728944843,1989,3,5,2,present
2008-02-16,244408.5730982791,2008,2,16,3,present
1999-01-01,267685.3155984417,1999,1,1,4,present
2006-01-22,270953.27407930564,2006,1,22,5,present
1993-01-05,289936.389995834,1993,1,5,6,present
2005-03-19,317201.24821603775,2005,3,19,7,present
1996-01-15,323654.9727904813,1996,1,15,8,present
1999-01-11,325334.2499834777,1999,1,11,9,present
2011-02-18,327598.97149483475,2011,2,18,10,present
1997-01-15,346750.88402562495,1997,1,15,11,present
2020-03-13,351871.71171377215,2020,3,13,12,present
2003-02-20,377925.07148731634,2003,2,20,13,present
1989-02-24,385918.44927253167,1989,2,24,14,present
1999-03-12,398252.829019392,1999,3,12,15,present
2004-01-24,405771.67307748547,2004,1,24,16,present
1996-03-07,408378.51155428455,1996,3,7,17,present
2022-01-30,427503.6086498057,2022,1,30,18,present
2025-03-13,430010.17346582405,2025,3,13,19,present
1996-03-23,447967.89881398046,1996,3,23,20,present
2023-02-18,448353.4315074334,2023,2,18,21,present
2016-01-29,453931.1718194609,2016,1,29,22,present
2024-12-24,458494.4160491544,2024,12,24,23,present
2004-12-26,467880.21551160846,2004,12,26,24,present
2005-02-10,469661.4020717559,2005,2,10,25,present
1990-02-25,469764.218295844,1990,2,25,26,present
2000-03-11,470556.98232755397,2000,3,11,27,present
2021-02-18,472589.28022088675,2021,2,18,28,present
1998-03-13,473445.934133923,1998,3,13,29,present
2017-03-17,481008.40808340086,2017,3,17,30,present
