date,distance,year,month,day,rank,period
1953-12-25,73014.97986909594,1953,12,25,1,past
1965-03-11,104477.89809043358,1965,3,11,2,past
1957-03-11,135714.0279320033,1957,3,11,3,past
1959-03-13,145906.8909438325,1959,3,13,4,past
1974-03-23,148774.16706547045,1974,3,23,5,past
1977-03-11,148908.79212917085,1977,3,11,6,past
1961-02-15,155714.14053185485,1961,2,15,7,past
1985-01-25,161031.58549171023,1985,1,25,8,past
1964-02-02,161863.20166999113,1964,2,2,9,past
1956-02-08,163305.9948711737,1956,2,8,10,past
1979-12-26,164094.94167512067,1979,12,26,11,past
1964-03-20,175537.64718515665,1964,3,20,12,past
1978-02-11,178541.46560419461,1978,2,11,13,past
1951-03-12,178815.8723300542,1951,3,12,14,past
1980-01-14,184579.67142235042,1980,1,14,15,past
2004-01-24,88846.25702270966,2004,1,24,1,present
2011-02-28,93149.92305282105,2011,2,28,2,present
2021-02-18,110797.54664000052,2021,2,18,3,present
1999-12-26,131356.11895969216,1999,12,26,4,present
2004-02-08,136760.31832220746,2004,2,8,5,present
1989-03-06,137105.43041720538,1989,3,6,6,present
2008-02-16,148222.23084237994,2008,2,16,7,present
1999-01-01,152946.63165543805,1999,1,1,8,present
2021-03-15,157227.63099559286,2021,3,15,9,present
2015-01-26,162445.99205863793,2015,1,26,10,present
1996-03-07,163946.75846007597,1996,3,7,11,present
1997-01-15,164620.42903954396,1997,1,15,12,present
2004-01-06,164995.06961386022,2004,1,6,13,present
2009-01-13,165742.3630676192,2009,1,13,14,present
2021-02-11,166244.10997141627,2021,2,11,15,present
