date,distance,year,month,day,rank,period
1985-01-25,212579.7773640833,1985,1,25,1,past
1957-03-11,242146.74531481505,1957,3,11,2,past
1953-12-25,289517.41420781304,1953,12,25,3,past
1965-03-09,290790.3325979148,1965,3,9,4,past
1982-01-11,309841.86387280555,1982,1,11,5,past
1959-03-13,327528.8669590654,1959,3,13,6,past
1979-02-21,350201.98429560196,1979,2,21,7,past
1981-03-19,352727.8222198405,1981,3,19,8,past
1961-02-15,356883.79561831837,1961,2,15,9,past
1977-03-11,371218.20687484066,1977,3,11,10,past
1987-03-10,433718.21446912125,1987,3,10,11,past
1962-01-09,446233.4048839776,1962,1,9,12,past
1982-03-16,448050.0931803401,1982,3,16,13,past
1974-03-25,448492.31106892385,1974,3,25,14,past
1951-03-13,451218.72003270005,1951,3,13,15,past
2011-02-28,151101.59039815163,2011,2,28,1,present
1989-03-05,193856.91168330575,1989,3,5,2,present
2008-02-16,237336.92638149287,2008,2,16,3,present
2006-01-22,274017.84608107724,2006,1,22,4,present
1993-01-05,288835.56656085595,1993,1,5,5,present
1999-01-01,305865.02952178195,1999,1,1,6,present
2005-03-19,314646.05238700664,2005,3,19,7,present
1997-01-15,317146.0050940835,1997,1,15,8,present
2004-01-24,330397.96835116914,2004,1,24,9,present
2020-03-13,357541.9084440459,2020,3,13,10,present
1999-01-11,380228.33131760283,1999,1,11,11,present
2004-12-26,383641.765791358,2004,12,26,12,present
1989-02-24,385690.8570200992,1989,2,24,13,present
2002-01-02,386453.8535193144,2002,1,2,14,present
2003-02-20,387457.1313477664,2003,2,20,15,present
