date,distance,year,month,day,rank,period
1985-01-26,228894.44619670225,1985,1,26,1,past
1957-03-11,264836.38536991744,1957,3,11,2,past
1982-01-11,361903.1207244756,1982,1,11,3,past
1959-03-13,386480.66477509507,1959,3,13,4,past
1979-02-21,396523.50261648727,1979,2,21,5,past
1977-03-11,403432.70882723574,1977,3,11,6,past
1965-03-09,405909.94724081253,1965,3,9,7,past
1961-02-15,412206.8935886307,1961,2,15,8,past
1974-02-22,461276.0987350906,1974,2,22,9,past
1987-03-10,466378.53028505406,1987,3,10,10,past
1984-03-03,473120.6601407248,1984,3,3,11,past
1962-01-09,481239.3284527414,1962,1,9,12,past
1953-12-25,486218.38681614265,1953,12,25,13,past
1960-02-23,497243.69950983825,1960,2,23,14,past
1981-03-19,498771.4496912073,1981,3,19,15,past
2011-02-28,185945.28496995298,2011,2,28,1,present
1989-03-05,202624.46915582454,1989,3,5,2,present
2006-01-22,277247.5067793846,2006,1,22,3,present
2008-02-16,287222.4948757641,2008,2,16,4,present
2005-03-19,302483.4334096001,2005,3,19,5,present
1993-01-05,343342.9644997897,1993,1,5,6,present
2020-03-13,350323.7808052016,2020,3,13,7,present
1997-01-15,353873.94374770974,1997,1,15,8,present
1999-01-01,377334.7069019924,1999,1,1,9,present
1999-01-11,380892.43049057643,1999,1,11,10,present
1996-01-15,392182.66362839704,1996,1,15,11,present
2004-01-24,395712.1140307706,2004,1,24,12,present
2011-02-18,402778.8016096717,2011,2,18,13,present
1989-02-24,409629.4126412108,1989,2,24,14,present
2004-12-26,437050.39282700396,2004,12,26,15,present
