date,distance,year,month,day,rank,period
1985-01-25,189362.67146576676,1985,1,25,1,past
1953-12-25,210597.1956269434,1953,12,25,2,past
1957-03-11,227045.99919372893,1957,3,11,3,past
1965-03-09,258536.03780472517,1965,3,9,4,past
1982-01-11,289041.3062635692,1982,1,11,5,past
1959-03-13,298819.2221307131,1959,3,13,6,past
1981-03-19,305698.6257706189,1981,3,19,7,past
1979-02-21,323611.1293357611,1979,2,21,8,past
1961-02-15,333088.6186382427,1961,2,15,9,past
1977-03-11,338898.18986132264,1977,3,11,10,past
1965-02-06,385816.4456358574,1965,2,6,11,past
1974-03-25,392832.4349114041,1974,3,25,12,past
1982-03-16,417069.21790380945,1982,3,16,13,past
1951-03-13,417727.5599931624,1951,3,13,14,past
1987-03-10,421158.0030094661,1987,3,10,15,past
2011-02-28,140818.30356632374,2011,2,28,1,present
1989-03-05,193432.2866590177,1989,3,5,2,present
2008-02-16,216094.13232293012,2008,2,16,3,present
2006-01-22,268451.51441302896,2006,1,22,4,present
1993-01-05,270601.5222891038,1993,1,5,5,present
1999-01-01,274212.9412317988,1999,1,1,6,present
1997-01-15,293270.23908236355,1997,1,15,7,present
2004-01-24,293437.45909808046,2004,1,24,8,present
2005-03-19,325302.97428075806,2005,3,19,9,present
2002-01-02,329052.3442206109,2002,1,2,10,present
1992-01-23,339375.8112014788,1992,1,23,11,present
2016-01-29,347341.48916451784,2016,1,29,12,present
2004-12-26,356048.4777241478,2004,12,26,13,present
2004-02-08,356299.6518180906,2004,2,8,14,present
1992-01-30,360262.5630720382,1992,1,30,15,present
