date,distance,year,month,day,rank,period
1953-12-25,150547.75901898596,1953,12,25,1,past
1985-01-25,172423.17068117482,1985,1,25,2,past
1957-03-11,207698.57344917912,1957,3,11,3,past
1965-03-09,238910.28496205655,1965,3,9,4,past
1959-03-13,263928.7902810749,1959,3,13,5,past
1982-01-11,267604.8597387082,1982,1,11,6,past
1981-03-19,272980.2484317111,1981,3,19,7,past
1977-03-11,289354.221437037,1977,3,11,8,past
1979-02-21,290614.94099806604,1979,2,21,9,past
1961-02-15,299034.11971197533,1961,2,15,10,past
1974-03-25,316816.9129884945,1974,3,25,11,past
1965-02-06,325795.8106658458,1965,2,6,12,past
1956-02-08,345387.3515663855,1956,2,8,13,past
1980-01-14,353052.02619435225,1980,1,14,14,past
1956-01-20,372354.62167422235,1956,1,20,15,past
2011-02-28,130367.76393356545,2011,2,28,1,present
1989-03-05,193637.44454906796,1989,3,5,2,present
2008-02-16,196338.92833217213,2008,2,16,3,present
1999-01-01,239190.4751373332,1999,1,1,4,present
2004-01-24,241956.01837157086,2004,1,24,5,present
1993-01-05,255079.7179096655,1993,1,5,6,present
2006-01-22,256643.60520303986,2006,1,22,7,present
1997-01-15,261535.36253000033,1997,1,15,8,present
2005-01-04,281192.18506650114,2005,1,4,9,present
2004-02-08,284318.9422558562,2004,2,8,10,present
1992-01-23,291433.5130886723,1992,1,23,11,present
2002-01-02,292620.4991803054,2002,1,2,12,present
2021-02-18,299250.0562448687,2021,2,18,13,present
2016-01-29,302792.8564437922,2016,1,29,14,present
1992-01-30,306453.0311106862,1992,1,30,15,present
