date,distance,year,month,day,rank,period
1985-01-25,149801.21190624323,1985,1,25,1,past
1953-12-25,166973.85597742008,1953,12,25,2,past
1957-03-11,182360.7289455427,1957,3,11,3,past
1959-03-13,209332.90955573836,1959,3,13,4,past
1965-03-09,231063.21469903056,1965,3,9,5,past
1979-02-21,232073.25687094804,1979,2,21,6,past
1977-03-11,254452.5205840484,1977,3,11,7,past
1982-01-11,258977.00646833336,1982,1,11,8,past
1962-03-12,275158.2162788585,1962,3,12,9,past
1974-03-25,282396.0446635149,1974,3,25,10,past
1961-03-17,284425.82530000055,1961,3,17,11,past
1951-03-12,286092.6007969857,1951,3,12,12,past
1978-02-04,295778.44450275076,1978,2,4,13,past
1959-03-18,304390.09844852623,1959,3,18,14,past
1981-03-19,306250.62375325715,1981,3,19,15,past
1961-02-15,308193.9668077578,1961,2,15,16,past
1987-03-10,318033.14977264695,1987,3,10,17,past
1986-02-02,330556.8646471916,1986,2,2,18,past
1975-03-17,331150.6901141999,1975,3,17,19,past
1956-03-01,342456.93097836914,1956,3,1,20,past
1982-03-16,347236.7562638505,1982,3,16,21,past
1974-03-06,349732.3909442088,1974,3,6,22,past
1962-01-25,353907.2690918107,1962,1,25,23,past
1960-03-12,364407.72070160555,1960,3,12,24,past
1963-02-05,371638.5167492838,1963,2,5,25,past
1964-02-02,371893.8460062645,1964,2,2,26,past
1969-12-27,373299.56556977413,1969,12,27,27,past
1962-01-08,373370.5426816102,1962,1,8,28,past
1965-12-30,382583.1210605244,1965,12,30,29,past
1979-12-31,386184.9819041077,1979,12,31,30,past
2011-02-28,118692.5939886678,2011,2,28,1,present
1999-01-01,145262.59769927867,1999,1,1,2,present
1989-03-05,155990.24463918313,1989,3,5,3,present
2008-02-16,178240.18399314192,2008,2,16,4,present
1993-01-05,189790.74096821318,1993,1,5,5,present
2011-02-18,196212.2510467439,2011,2,18,6,present
1997-01-15,212340.56195293114,1997,1,15,7,present
1996-01-15,236830.13934944026,1996,1,15,8,present
2016-01-29,240806.27419434758,2016,1,29,9,present
2021-02-18,241147.1775625721,2021,2,18,10,present
1999-03-12,241487.49703434232,1999,3,12,11,present
2006-01-22,241929.69700893847,2006,1,22,12,present
1996-03-23,242334.64338890024,1996,3,23,13,present
1999-01-11,243592.05977076973,1999,1,11,14,present
1996-03-07,250803.67345007687,1996,3,7,15,present
1989-02-21,254024.24331609768,1989,2,21,16,present
2004-01-24,254051.8706653476,2004,1,24,17,present
1992-01-23,269947.3848892837,1992,1,23,18,present
2004-12-26,270935.64543056575,2004,12,26,19,present
2023-02-18,271129.2494327451,2023,2,18,20,present
2022-01-30,274830.72821225895,2022,1,30,21,present
2021-01-20,281635.12349585403,2021,1,20,22,present
2004-02-08,286682.56303192105,2004,2,8,23,present
1999-12-26,302283.08712713345,1999,12,26,24,present
2004-01-06,302586.81036792486,2004,1,6,25,present
2018-03-10,304132.4193091777,2018,3,10,26,present
2013-03-25,304385.7849782963,2013,3,25,27,present
1998-01-02,304918.6809500676,1998,1,2,28,present
2005-02-08,306247.4563414943,2005,2,8,29,present
1989-01-08,307855.18717783806,1989,1,8,30,present
