date,distance,year,month,day,rank,period
1985-01-26,220839.66090555448,1985,1,26,1,past
1957-03-11,257051.7438511921,1957,3,11,2,past
1959-03-13,316219.82145368983,1959,3,13,3,past
1979-02-21,350130.5384153802,1979,2,21,4,past
1977-03-11,354465.70458963065,1977,3,11,5,past
1982-01-11,366509.31516487,1982,1,11,6,past
1965-03-09,392854.20343742904,1965,3,9,7,past
1987-03-10,398929.73120620963,1987,3,10,8,past
1951-03-13,415456.62649448414,1951,3,13,9,past
1953-12-25,416904.1831725795,1953,12,25,10,past
1961-02-15,416918.9714165146,1961,2,15,11,past
1974-03-25,428932.6061652744,1974,3,25,12,past
1959-03-18,434106.43651414604,1959,3,18,13,past
1961-03-17,435886.66461638384,1961,3,17,14,past
1978-02-04,438884.58285540994,1978,2,4,15,past
1962-01-09,445625.6132213139,1962,1,9,16,past
1984-03-03,447843.0132866074,1984,3,3,17,past
1960-02-23,453674.99030132307,1960,2,23,18,past
1974-02-22,466373.5836135102,1974,2,22,19,past
1982-03-16,471456.4924776983,1982,3,16,20,past
1962-03-12,483533.9850567204,1962,3,12,21,past
1980-12-28,493711.677521419,1980,12,28,22,past
1986-02-02,500778.498786562,1986,2,2,23,past
1979-12-27,507503.9155610139,1979,12,27,24,past
1974-03-06,511891.60190630134,1974,3,6,25,past
1981-03-19,514927.8332029896,1981,3,19,26,past
1973-02-23,531923.9870999069,1973,2,23,27,past
1987-02-28,534777.3697462734,1987,2,28,28,past
1975-03-17,536550.9751106788,1975,3,17,29,past
1960-03-12,541932.3001671945,1960,3,12,30,past
2011-02-28,162392.02676191975,2011,2,28,1,present
1989-03-05,195062.412537208,1989,3,5,2,present
2008-02-16,227833.3389633324,2008,2,16,3,present
1999-01-01,234578.0521796944,1999,1,1,4,present
1993-01-05,263229.653084352,1993,1,5,5,present
2006-01-22,266417.85706182156,2006,1,22,6,present
2011-02-18,305911.3970861932,2011,2,18,7,present
1996-01-15,307461.9053742556,1996,1,15,8,present
1999-01-11,309579.24152803305,1999,1,11,9,present
1997-01-15,320244.58490484155,1997,1,15,10,present
2005-03-19,321588.97599461523,2005,3,19,11,present
2020-03-13,350924.67104048724,2020,3,13,12,present
2003-02-20,351851.4791513673,2003,2,20,13,present
1989-02-24,367061.6358828346,1989,2,24,14,present
1999-03-12,370288.47660094494,1999,3,12,15,present
2004-01-24,371050.8776224141,2004,1,24,16,present
1996-03-07,379192.5313778678,1996,3,7,17,present
2022-01-30,396593.5968609553,2022,1,30,18,present
1996-03-23,398624.7818884965,1996,3,23,19,present
2025-03-13,404217.6422346497,2025,3,13,20,present
2023-02-18,405532.94497844984,2023,2,18,21,present
2016-01-29,407226.6034195679,2016,1,29,22,present
2021-02-18,414041.01014042884,2021,2,18,23,present
2004-12-26,426510.60571773705,2004,12,26,24,present
2024-12-24,439602.19260165124,2024,12,24,25,present
1998-03-13,442546.6520182074,1998,3,13,26,present
2005-02-10,444411.78326026915,2005,2,10,27,present
1990-02-25,453589.44064024946,1990,2,25,28,present
1989-01-08,454718.9224477299,1989,1,8,29,present
1992-01-23,461573.9218106808,1992,1,23,30,present
