date,distance,year,month,day,rank,period
1985-01-26,222007.53074662757,1985,1,26,1,past
1957-03-11,282980.6942335394,1957,3,11,2,past
1959-03-13,378745.8710876801,1959,3,13,3,past
1977-03-11,388340.6467203546,1977,3,11,4,past
1979-02-21,415857.4965669415,1979,2,21,5,past
1982-01-11,428008.6600514881,1982,1,11,6,past
1987-03-10,428863.70910219534,1987,3,10,7,past
1974-02-22,444735.19317430246,1974,2,22,8,past
1960-02-23,466712.3057969385,1960,2,23,9,past
1984-03-03,474290.5121931818,1984,3,3,10,past
1974-03-25,477110.03567547014,1974,3,25,11,past
1962-01-09,481487.9271930222,1962,1,9,12,past
1978-02-04,487950.1760170767,1978,2,4,13,past
1961-02-15,490041.5511274677,1961,2,15,14,past
1959-03-18,490514.3544677058,1959,3,18,15,past
2011-02-28,202821.871572055,2011,2,28,1,present
1989-03-05,220564.59467264428,1989,3,5,2,present
2008-02-16,261254.9536850146,2008,2,16,3,present
2006-01-22,274698.1294366102,2006,1,22,4,present
1999-01-01,302063.74620469357,1999,1,1,5,present
2005-03-20,313467.568957624,2005,3,20,6,present
1993-01-05,317457.50000806316,1993,1,5,7,present
1996-01-15,337121.96314507956,1996,1,15,8,present
1999-01-11,338824.33275670855,1999,1,11,9,present
2011-02-18,344272.53867390996,2011,2,18,10,present
2020-03-13,352940.8868868125,2020,3,13,11,present
1997-01-15,368867.1793301972,1997,1,15,12,present
1989-02-24,401179.38911150896,1989,2,24,13,present
2003-02-20,408262.8263863064,2003,2,20,14,present
1999-03-12,421446.65836084634,1999,3,12,15,present
