date,distance,year,month,day,rank,period
1953-12-25,53792.645081761475,1953,12,25,1,past
1964-02-02,56470.05508904679,1964,2,2,2,past
1964-03-17,60583.738983971496,1964,3,17,3,past
1979-12-26,65205.847245862846,1979,12,26,4,past
1974-03-23,66702.51708405344,1974,3,23,5,past
1959-03-13,67391.55396677337,1959,3,13,6,past
1982-03-16,68099.34753913355,1982,3,16,7,past
1951-03-03,68397.94571758744,1951,3,3,8,past
1965-03-11,70207.35837766256,1965,3,11,9,past
1957-03-11,71151.51665808304,1957,3,11,10,past
1974-03-06,81808.50963474867,1974,3,6,11,past
1961-02-15,82026.9728054832,1961,2,15,12,past
1978-02-11,82198.29723319458,1978,2,11,13,past
1967-03-04,82869.55977279146,1967,3,4,14,past
1956-01-21,83266.89833401445,1956,1,21,15,past
2004-01-24,38359.61129392337,2004,1,24,1,present
2021-02-18,46731.90823796212,2021,2,18,2,present
2011-03-01,52832.71044719986,2011,3,1,3,present
2016-03-22,53771.0887538954,2016,3,22,4,present
1996-01-04,59419.569834036214,1996,1,4,5,present
2015-01-26,66429.85660261322,2015,1,26,6,present
1995-12-25,67424.84598107975,1995,12,25,7,present
1999-12-26,69937.99903726962,1999,12,26,8,present
2023-03-06,70016.10917792836,2023,3,6,9,present
1995-02-11,71038.47604016506,1995,2,11,10,present
1999-03-12,73288.3542724092,1999,3,12,11,present
1988-01-14,75680.93270129817,1988,1,14,12,present
2018-02-21,77593.77692458266,2018,2,21,13,present
2004-02-08,77683.78461487072,2004,2,8,14,present
2020-12-26,78438.84721963498,2020,12,26,15,present
