date,distance,year,month,day,rank,period
1985-01-25,200265.46937243151,1985,1,25,1,past
1957-03-11,238060.1998258859,1957,3,11,2,past
1959-03-13,281867.6427643351,1959,3,13,3,past
1979-02-21,311899.99615072954,1979,2,21,4,past
1953-12-25,326118.7509288661,1953,12,25,5,past
1977-03-11,328757.8016576702,1977,3,11,6,past
1982-01-11,332630.24101026397,1982,1,11,7,past
1965-03-09,333326.44224730524,1965,3,9,8,past
1951-03-13,371590.94538229343,1951,3,13,9,past
1987-03-10,381039.90454669215,1987,3,10,10,past
1961-02-15,381577.78692002426,1961,2,15,11,past
1961-03-17,390412.5679446949,1961,3,17,12,past
1974-03-25,391664.9874785836,1974,3,25,13,past
1959-03-18,398956.60122582,1959,3,18,14,past
1978-02-04,402757.9777040001,1978,2,4,15,past
2011-02-28,144953.18866251197,2011,2,28,1,present
1989-03-05,181567.8966002182,1989,3,5,2,present
1999-01-01,203079.52177416976,1999,1,1,3,present
2008-02-16,211413.07932515122,2008,2,16,4,present
1993-01-05,237860.51750787036,1993,1,5,5,present
2006-01-22,260822.85712065216,2006,1,22,6,present
2011-02-18,277706.7618867773,2011,2,18,7,present
1996-01-15,287828.9739379745,1996,1,15,8,present
1997-01-15,289014.662964603,1997,1,15,9,present
1999-01-11,291100.2805183901,1999,1,11,10,present
2005-03-20,327879.5805509599,2005,3,20,11,present
2003-02-20,331013.80397555267,2003,2,20,12,present
2004-01-24,335084.5258662236,2004,1,24,13,present
1999-03-12,335731.9648736991,1999,3,12,14,present
1989-02-24,343281.1716750803,1989,2,24,15,present
