date,distance,year,month,day,rank,period
1953-12-25,108496.68566636289,1953,12,25,1,past
1985-01-25,129248.4831077385,1985,1,25,2,past
1957-03-11,143765.70414481254,1957,3,11,3,past
1959-03-13,170686.42516983947,1959,3,13,4,past
1965-03-09,188955.1115220673,1965,3,9,5,past
1979-02-21,194033.02199001177,1979,2,21,6,past
1962-03-12,205689.6183529416,1962,3,12,7,past
1977-03-11,207266.53492006654,1977,3,11,8,past
1974-03-25,213260.85310429963,1974,3,25,9,past
1982-01-11,216151.64904239532,1982,1,11,10,past
1951-03-12,221543.6989322777,1951,3,12,11,past
1978-02-04,224785.3844937475,1978,2,4,12,past
1961-03-17,224819.7773639744,1961,3,17,13,past
1959-03-18,236873.87682654712,1959,3,18,14,past
1961-02-13,241782.0930809479,1961,2,13,15,past
1975-03-17,243484.33547283235,1975,3,17,16,past
1981-03-19,246007.28401972356,1981,3,19,17,past
1956-03-01,253437.62181100185,1956,3,1,18,past
1962-01-25,254744.88688654074,1962,1,25,19,past
1986-02-02,262035.5255480131,1986,2,2,20,past
1987-03-10,262418.2010493247,1987,3,10,21,past
1964-02-02,264622.72476071643,1964,2,2,22,past
1974-03-06,275936.9877018658,1974,3,6,23,past
1979-12-26,276294.0940732947,1979,12,26,24,past
1969-12-27,277827.5173576754,1969,12,27,25,past
1956-02-08,278988.90722105216,1956,2,8,26,past
1982-03-16,280684.0515232288,1982,3,16,27,past
1960-03-12,287281.01357464003,1960,3,12,28,past
1954-02-11,288279.3816964077,1954,2,11,29,past
1985-03-07,290616.9576404923,1985,3,7,30,past
2011-02-28,108540.3383271193,2011,2,28,1,present
1999-01-01,119851.8292970229,1999,1,1,2,present
1989-03-05,142768.02511036265,1989,3,5,3,present
2011-02-18,143405.45999017777,2011,2,18,4,present
2008-02-16,161788.64663168616,2008,2,16,5,present
1993-01-05,163511.18524715217,1993,1,5,6,present
1997-01-15,167416.55055271147,1997,1,15,7,present
2016-01-29,180639.05348885033,2016,1,29,8,present
1999-03-12,183437.85246713474,1999,3,12,9,present
2021-02-18,186262.12308873175,2021,2,18,10,present
1996-03-23,187554.77473247948,1996,3,23,11,present
1996-03-07,196455.009008704,1996,3,7,12,present
2004-02-08,200531.56403257648,2004,2,8,13,present
2004-01-24,202057.11961462756,2004,1,24,14,present
1989-02-21,202181.62377153136,1989,2,21,15,present
2023-03-06,203138.83011043575,2023,3,6,16,present
1996-01-15,208233.858527419,1996,1,15,17,present
2004-12-26,211042.75042247633,2004,12,26,18,present
1999-01-11,212277.44093091204,1999,1,11,19,present
1999-12-26,214550.66851564622,1999,12,26,20,present
1992-01-23,214810.40292718858,1992,1,23,21,present
2018-03-10,218000.3220851019,2018,3,10,22,present
2023-02-18,218018.20009669274,2023,2,18,23,present
2006-01-22,221770.92196562316,2006,1,22,24,present
2021-01-20,224028.3279674234,2021,1,20,25,present
2005-02-08,227426.13369739556,2005,2,8,26,present
2004-01-06,228005.01819944542,2004,1,6,27,present
2015-01-26,228821.43434831395,2015,1,26,28,present
1995-12-25,230189.581170052,1995,12,25,29,present
2018-02-16,230394.60275929768,2018,2,16,30,present
