date,distance,year,month,day,rank,period
1985-01-26,219286.72339918892,1985,1,26,1,past
1957-03-11,307480.1282276035,1957,3,11,2,past
1977-03-11,416961.9995971542,1977,3,11,3,past
1974-02-22,431315.7809396609,1974,2,22,4,past
1959-03-14,460167.423992693,1959,3,14,5,past
1960-02-23,472879.8822510247,1960,2,23,6,past
1979-02-21,501989.0743894184,1979,2,21,7,past
1987-03-10,503033.0122683805,1987,3,10,8,past
1984-03-03,510677.8695878464,1984,3,3,9,past
1974-03-25,516309.43250696897,1974,3,25,10,past
1982-01-11,520328.2324753173,1982,1,11,11,past
1978-02-04,539485.5256116601,1978,2,4,12,past
1973-02-23,555814.3246226588,1973,2,23,13,past
1980-12-26,563998.0522524199,1980,12,26,14,past
1959-03-19,571112.1900832214,1959,3,19,15,past
1962-01-09,578831.9394439382,1962,1,9,16,past
1954-03-20,588439.36995461,1954,3,20,17,past
1970-03-24,596744.2247303973,1970,3,24,18,past
1951-03-12,617315.4322203555,1951,3,12,19,past
1961-02-15,619531.4179712329,1961,2,15,20,past
1961-03-17,631934.4157765441,1961,3,17,21,past
1982-03-16,637066.2454124421,1982,3,16,22,past
1984-03-12,642584.4105038319,1984,3,12,23,past
1979-12-27,647010.0477296684,1979,12,27,24,past
1964-03-17,650164.4780327869,1964,3,17,25,past
1987-02-28,659567.5960884382,1987,2,28,26,past
1965-01-18,671801.7678129195,1965,1,18,27,past
1957-02-02,675536.2540747348,1957,2,2,28,past
1960-03-12,676137.9317741024,1960,3,12,29,past
1975-12-28,676623.2026292746,1975,12,28,30,past
1989-03-05,256829.07633067045,1989,3,5,1,present
2006-01-22,283835.38530462113,2006,1,22,2,present
2011-02-28,285527.12127169047,2011,2,28,3,present
2005-03-20,300166.949763667,2005,3,20,4,present
2008-02-16,328221.72789708,2008,2,16,5,present
2020-03-13,357231.4724565777,2020,3,13,6,present
1996-01-15,374134.01377174776,1996,1,15,7,present
1999-01-11,377046.97302092763,1999,1,11,8,present
2011-02-18,381831.6842845586,2011,2,18,9,present
1993-01-05,422543.3626115125,1993,1,5,10,present
1997-01-15,424369.26698946627,1997,1,15,11,present
1999-01-01,439195.71767974074,1999,1,1,12,present
1989-02-24,441720.1215281345,1989,2,24,13,present
1996-03-07,487829.4937537585,1996,3,7,14,present
1999-03-12,489826.17694875045,1999,3,12,15,present
2017-03-17,495159.220001591,2017,3,17,16,present
2024-12-24,496851.762476063,2024,12,24,17,present
2010-03-08,512354.88475096645,2010,3,8,18,present
1990-02-25,512780.89596854284,1990,2,25,19,present
2022-01-30,523429.17551098403,2022,1,30,20,present
2005-02-10,529311.9699780976,2005,2,10,21,present
2002-12-30,533129.339787355,2002,12,30,22,present
2025-03-13,540263.5645762674,2025,3,13,23,present
2021-02-11,544343.1522505633,2021,2,11,24,present
2000-03-11,548390.3433770272,2000,3,11,25,present
2003-02-20,548405.615522733,2003,2,20,26,present
2008-01-25,548676.9318102754,2008,1,25,27,present
2004-01-24,557113.5533497729,2004,1,24,28,present
1991-01-07,563352.1528809394,1991,1,7,29,present
2002-02-03,567507.2129581687,2002,2,3,30,present
