date,distance,year,month,day,rank,period
1985-01-26,220426.6736523463,1985,1,26,1,past
1957-03-11,298318.9854645929,1957,3,11,2,past
1977-03-11,406906.8029933661,1977,3,11,3,past
1959-03-13,432170.3921786915,1959,3,13,4,past
1974-02-22,435275.11134065606,1974,2,22,5,past
1987-03-10,463117.8898249598,1987,3,10,6,past
1979-02-21,465547.10090242146,1979,2,21,7,past
1960-02-23,471769.75495496445,1960,2,23,8,past
1982-01-11,479284.79118238675,1982,1,11,9,past
1984-03-03,494962.7027881108,1984,3,3,10,past
1974-03-25,502780.1535792552,1974,3,25,11,past
1978-02-04,518609.6081208217,1978,2,4,12,past
1962-01-09,529534.849250991,1962,1,9,13,past
1959-03-18,533103.0508050662,1959,3,18,14,past
1973-02-23,550445.2270172804,1973,2,23,15,past
1980-12-26,550499.8898819705,1980,12,26,16,past
1961-02-15,559545.8906924557,1961,2,15,17,past
1951-03-12,576227.5610210486,1951,3,12,18,past
1961-03-17,578912.2886930538,1961,3,17,19,past
1970-03-23,585556.7819468457,1970,3,23,20,past
1982-03-16,585698.3774192235,1982,3,16,21,past
1954-03-20,592992.5230088399,1954,3,20,22,past
1979-12-27,615132.4266437589,1979,12,27,23,past
1987-02-28,621713.4580910063,1987,2,28,24,past
1964-03-17,626587.2249533024,1964,3,17,25,past
1984-03-12,630947.096135767,1984,3,12,26,past
1960-03-12,650309.9331553715,1960,3,12,27,past
1965-03-09,650508.4157337586,1965,3,9,28,past
1982-01-06,651876.4324497723,1982,1,6,29,past
1975-12-28,654831.9425482003,1975,12,28,30,past
1989-03-05,241289.02314478025,1989,3,5,1,present
2011-02-28,245345.36971171113,2011,2,28,2,present
2006-01-22,280258.253355107,2006,1,22,3,present
2008-02-16,295305.764404646,2008,2,16,4,present
2005-03-20,305848.8464170114,2005,3,20,5,present
2020-03-13,355130.1060808818,2020,3,13,6,present
1996-01-15,358230.62026203185,1996,1,15,7,present
1999-01-11,360527.9462382197,1999,1,11,8,present
2011-02-18,367301.5320364002,2011,2,18,9,present
1999-01-01,372065.82359103987,1999,1,1,10,present
1993-01-05,372114.8145213356,1993,1,5,11,present
1997-01-15,402075.34670754045,1997,1,15,12,present
1989-02-24,424466.8753950713,1989,2,24,13,present
1999-03-12,459018.61016080994,1999,3,12,14,present
1996-03-07,465949.3007269377,1996,3,7,15,present
2003-02-20,476917.69517393305,2003,2,20,16,present
2024-12-24,488309.9403699693,2024,12,24,17,present
2017-03-17,488597.91287011374,2017,3,17,18,present
2022-01-30,493980.6918577151,2022,1,30,19,present
1990-02-25,499629.41940318764,1990,2,25,20,present
2025-03-13,500537.18645561236,2025,3,13,21,present
2004-01-24,501958.9723797283,2004,1,24,22,present
2010-03-08,506370.6198319442,2010,3,8,23,present
2005-02-10,513927.9416082946,2005,2,10,24,present
2000-03-11,516321.34002790623,2000,3,11,25,present
2008-01-25,533367.7446775096,2008,1,25,26,present
2021-02-11,538218.4002471953,2021,2,11,27,present
2002-12-30,546282.1470756383,2002,12,30,28,present
1991-01-07,547844.0565017035,1991,1,7,29,present
2002-02-03,547957.9099364448,2002,2,3,30,present
