date,distance,year,month,day,rank,period
1983-04-18,288181.5654773073,1983,4,18,1,past
1960-02-26,327599.25631925015,1960,2,26,2,past
1973-04-23,350251.8624448055,1973,4,23,3,past
1965-03-17,363391.2654891631,1965,3,17,4,past
1959-03-10,369028.5703258247,1959,3,10,5,past
1981-04-16,378812.1032758615,1981,4,16,6,past
1979-03-24,380131.7648656588,1979,3,24,7,past
1957-04-09,392415.0773071903,1957,4,9,8,past
1978-04-07,423775.6930017258,1978,4,7,9,past
1966-04-05,446752.36186821334,1966,4,5,10,past
1974-02-09,455233.9480357685,1974,2,9,11,past
1962-02-22,456943.1725134493,1962,2,22,12,past
1978-03-06,509877.457300021,1978,3,6,13,past
1984-03-29,522431.75505525334,1984,3,29,14,past
1962-04-05,526496.438071108,1962,4,5,15,past
1965-03-24,534636.1902845211,1965,3,24,16,past
1982-05-01,552535.7878902963,1982,5,1,17,past
1967-04-10,557848.4871147822,1967,4,10,18,past
1964-04-29,588783.0666144461,1964,4,29,19,past
1960-03-03,591176.4735227424,1960,3,3,20,past
1974-02-16,591637.2921475086,1974,2,16,21,past
1974-04-24,611029.0654494627,1974,4,24,22,past
1981-03-22,611282.7780298415,1981,3,22,23,past
1960-03-22,617283.3860886414,1960,3,22,24,past
1979-03-07,637562.1121497251,1979,3,7,25,past
1985-03-24,638809.7128293061,1985,3,24,26,past
1983-03-22,638846.6453503672,1983,3,22,27,past
1982-04-05,644964.0850599074,1982,4,5,28,past
1959-02-18,656933.6488258349,1959,2,18,29,past
1956-03-28,662372.0359405694,1956,3,28,30,past
1998-04-27,174645.21831960333,1998,4,27,1,present
2006-02-10,246280.95684145155,2006,2,10,2,present
1989-05-03,270436.87939954386,1989,5,3,3,present
1998-02-19,300463.1011014604,1998,2,19,4,present
1998-03-24,304066.5361460878,1998,3,24,5,present
2022-03-19,312902.71116802224,2022,3,19,6,present
1997-03-16,313325.04165804526,1997,3,16,7,present
2021-04-06,316170.3207780064,2021,4,6,8,present
2008-03-04,323682.24811846,2008,3,4,9,present
2021-04-01,336911.474228354,2021,4,1,10,present
2013-02-26,337965.31136815884,2013,2,26,11,present
2017-03-28,340895.9964333587,2017,3,28,12,present
1991-03-25,362778.946571649,1991,3,25,13,present
1990-02-26,370072.42201893183,1990,2,26,14,present
1998-04-10,386184.4527049421,1998,4,10,15,present
2004-04-23,414108.85234070505,2004,4,23,16,present
1993-03-02,428619.4727856056,1993,3,2,17,present
2016-03-01,428710.84294937394,2016,3,1,18,present
2013-04-12,439649.72876480623,2013,4,12,19,present
2012-03-26,455043.16679715173,2012,3,26,20,present
2011-02-23,455068.0561446923,2011,2,23,21,present
2021-03-03,467323.69188879995,2021,3,3,22,present
2024-03-05,478625.867209057,2024,3,5,23,present
2000-05-03,484905.39114511455,2000,5,3,24,present
2012-04-23,506848.05416017707,2012,4,23,25,present
1990-03-16,508741.71249118494,1990,3,16,26,present
2019-03-14,511533.8459456298,2019,3,14,27,present
2013-03-17,513726.61125682096,2013,3,17,28,present
2004-05-02,525491.8014962384,2004,5,2,29,present
2014-02-24,542663.1530212492,2014,2,24,30,present
