date,distance,year,month,day,rank,period
1983-04-17,165350.10833596706,1983,4,17,1,past
1981-04-16,166081.35482550762,1981,4,16,2,past
1957-04-09,204134.73702031712,1957,4,9,3,past
1960-02-26,210927.8520603654,1960,2,26,4,past
1973-04-23,279482.24946989585,1973,4,23,5,past
1982-05-01,287636.3090560806,1982,5,1,6,past
1979-03-24,301544.51566796453,1979,3,24,7,past
1964-04-29,352001.7361536929,1964,4,29,8,past
1958-03-14,369220.62374221534,1958,3,14,9,past
1974-05-05,383853.0572882971,1974,5,5,10,past
1959-03-10,388834.1142216902,1959,3,10,11,past
1974-02-15,402072.1093203736,1974,2,15,12,past
1965-03-17,406235.3601539874,1965,3,17,13,past
1980-04-25,420984.846031095,1980,4,25,14,past
1962-02-22,423810.70646224485,1962,2,22,15,past
2008-03-04,101104.97585395478,2008,3,4,1,present
1998-04-27,108391.93215219559,1998,4,27,2,present
2013-03-17,127616.10520494767,2013,3,17,3,present
2016-04-26,161197.57309108006,2016,4,26,4,present
2006-02-10,170452.6378923263,2006,2,10,5,present
2017-03-28,174632.66460714123,2017,3,28,6,present
2004-05-03,216824.8830918047,2004,5,3,7,present
2011-02-23,218477.907868029,2011,2,23,8,present
2012-03-26,219594.68992819206,2012,3,26,9,present
1998-02-19,225085.79755838006,1998,2,19,10,present
1989-05-03,244224.03907153287,1989,5,3,11,present
1993-03-02,261089.76088175486,1993,3,2,12,present
2021-04-01,262275.70700912765,2021,4,1,13,present
2022-03-19,265569.3645412033,2022,3,19,14,present
1997-03-16,292469.0163901149,1997,3,16,15,present
