date,distance,year,month,day,rank,period
1983-04-18,346882.1378690581,1983,4,18,1,past
1965-03-17,384449.505158813,1965,3,17,2,past
1960-02-26,391585.7690659749,1960,2,26,3,past
1959-03-10,400566.24261607224,1959,3,10,4,past
1973-04-23,423212.2224309463,1973,4,23,5,past
1979-03-24,441094.9358412685,1979,3,24,6,past
1957-04-13,453323.32536304084,1957,4,13,7,past
1978-04-07,458234.3045060586,1978,4,7,8,past
1974-02-09,458999.9745874245,1974,2,9,9,past
1981-04-16,484352.29149396694,1981,4,16,10,past
1962-02-22,497693.62524910126,1962,2,22,11,past
1966-04-05,524239.2660859009,1966,4,5,12,past
1962-04-05,570590.1703008136,1962,4,5,13,past
1984-03-29,577811.3622986029,1984,3,29,14,past
1965-03-24,597065.2035783178,1965,3,24,15,past
1967-04-09,603768.1048449633,1967,4,9,16,past
1981-03-22,604476.3186779922,1981,3,22,17,past
1974-02-16,632599.4401843564,1974,2,16,18,past
1974-04-24,634363.2315846713,1974,4,24,19,past
1978-03-06,640133.1753573555,1978,3,6,20,past
1960-03-22,658893.6923997445,1960,3,22,21,past
1982-05-01,677822.9710856716,1982,5,1,22,past
1960-03-02,684755.8707167302,1960,3,2,23,past
1983-03-22,690159.2811670093,1983,3,22,24,past
1979-03-07,696020.1913500213,1979,3,7,25,past
1968-03-30,702931.1210951124,1968,3,30,26,past
1974-03-22,725182.6959708094,1974,3,22,27,past
1964-04-29,736837.3369289575,1964,4,29,28,past
1986-04-22,744157.6562048431,1986,4,22,29,past
1973-03-07,746573.2587539662,1973,3,7,30,past
1998-04-27,252799.0402555972,1998,4,27,1,present
1989-05-03,280125.6791400018,1989,5,3,2,present
2006-02-10,292309.769839022,2006,2,10,3,present
1998-02-19,329904.0659366692,1998,2,19,4,present
2022-03-19,330742.1120553625,2022,3,19,5,present
1998-03-24,340403.2433159018,1998,3,24,6,present
2021-04-06,380484.7603294547,2021,4,6,7,present
2017-03-28,381843.651745848,2017,3,28,8,present
1997-03-16,392412.27942886285,1997,3,16,9,present
2013-02-26,397190.5138682614,2013,2,26,10,present
1990-02-26,423679.85259024735,1990,2,26,11,present
2004-04-23,431042.43221043725,2004,4,23,12,present
1998-04-10,434166.7771042172,1998,4,10,13,present
1991-03-25,458669.57816776156,1991,3,25,14,present
2008-03-04,463120.2848320204,2008,3,4,15,present
2021-04-01,476613.09029891307,2021,4,1,16,present
2000-05-03,484229.78579492756,2000,5,3,17,present
2012-04-23,495356.02449159045,2012,4,23,18,present
2021-03-03,496582.99792645685,2021,3,3,19,present
2016-03-01,511247.74583144474,2016,3,1,20,present
1993-03-02,511953.8480706285,1993,3,2,21,present
2013-04-12,524357.2126422181,2013,4,12,22,present
2004-05-02,572270.8450952283,2004,5,2,23,present
2019-03-14,590666.4459141347,2019,3,14,24,present
2024-03-05,594682.649990498,2024,3,5,25,present
1998-02-10,596776.5092074134,1998,2,10,26,present
2011-02-23,598930.2781728707,2011,2,23,27,present
2014-02-24,613816.0659228391,2014,2,24,28,present
2020-02-21,619371.9276531714,2020,2,21,29,present
2012-03-26,620866.359494502,2012,3,26,30,present
