date,distance,year,month,day,rank,period
1983-04-18,255282.7215780289,1983,4,18,1,past
1960-02-26,274208.19667961414,1960,2,26,2,past
1981-04-16,297905.4273362273,1981,4,16,3,past
1973-04-23,308877.5093017482,1973,4,23,4,past
1979-03-24,332559.28727789974,1979,3,24,5,past
1959-03-10,344424.275499432,1959,3,10,6,past
1957-04-09,346114.8804489088,1957,4,9,7,past
1965-03-17,354427.3464099015,1965,3,17,8,past
1978-04-07,405206.9650615227,1978,4,7,9,past
1962-02-22,411535.3554869584,1962,2,22,10,past
1966-04-05,427472.3188803675,1966,4,5,11,past
1974-02-09,459915.6289348084,1974,2,9,12,past
1982-05-01,464217.0882037686,1982,5,1,13,past
1984-03-29,464802.73938076745,1984,3,29,14,past
1964-04-29,471251.82997758634,1964,4,29,15,past
1978-03-06,473166.92997728166,1978,3,6,16,past
1962-04-05,477143.81885299215,1962,4,5,17,past
1965-03-24,479817.96715625486,1965,3,24,18,past
1967-04-08,510584.3102022961,1967,4,8,19,past
1960-03-03,514369.8045753717,1960,3,3,20,past
1959-02-18,541337.0201863014,1959,2,18,21,past
1974-02-16,542859.7875966425,1974,2,16,22,past
1985-03-24,547483.91137938,1985,3,24,23,past
1974-05-05,558356.6898266465,1974,5,5,24,past
1982-04-05,559579.4752523493,1982,4,5,25,past
1958-03-14,563212.3107088576,1958,3,14,26,past
1973-03-08,569174.0529085883,1973,3,8,27,past
1956-03-28,576024.2346750076,1956,3,28,28,past
1979-03-07,580862.1673132968,1979,3,7,29,past
1960-03-22,583515.5382208363,1960,3,22,30,past
1998-04-27,138277.36284753747,1998,4,27,1,present
2006-02-10,208359.7310741512,2006,2,10,2,present
2008-03-04,235787.8971435191,2008,3,4,3,present
1989-05-03,259842.815837116,1989,5,3,4,present
1998-03-24,269613.9374046817,1998,3,24,5,present
2021-04-01,279480.28375333786,2021,4,1,6,present
1997-03-16,284334.20400141773,1997,3,16,7,present
1998-02-19,285266.834002323,1998,2,19,8,present
2021-04-06,288302.25310809247,2021,4,6,9,present
2013-02-26,300345.4895617957,2013,2,26,10,present
2022-03-19,303597.2489186429,2022,3,19,11,present
2017-03-28,305371.57311109256,2017,3,28,12,present
1991-03-25,316224.35765107867,1991,3,25,13,present
1990-02-26,325836.2598876991,1990,2,26,14,present
2012-03-26,349150.66663605114,2012,3,26,15,present
1998-04-10,352871.02042618586,1998,4,10,16,present
1993-03-02,359827.76882846665,1993,3,2,17,present
2011-02-23,362544.33403221844,2011,2,23,18,present
2016-03-01,375679.1175168034,2016,3,1,19,present
2013-04-12,388921.2086386588,2013,4,12,20,present
2013-03-17,391244.8900849986,2013,3,17,21,present
2004-04-23,391727.4055387303,2004,4,23,22,present
1990-03-16,394052.1320037722,1990,3,16,23,present
2024-03-05,403943.84447986324,2024,3,5,24,present
2021-03-03,439991.5931335192,2021,3,3,25,present
2016-04-09,441359.57092708605,2016,4,9,26,present
2019-03-14,462531.90512985864,2019,3,14,27,present
2021-05-06,465650.686586359,2021,5,6,28,present
2024-05-01,473250.7546413573,2024,5,1,29,present
2000-05-03,476399.1234784261,2000,5,3,30,present
