date,distance,year,month,day,rank,period
1981-04-16,200635.66234952098,1981,4,16,1,past
1960-02-26,205878.80244777215,1960,2,26,2,past
1983-04-18,226215.6658920903,1983,4,18,3,past
1973-04-23,256341.19676798224,1973,4,23,4,past
1979-03-24,266916.28209772334,1979,3,24,5,past
1959-03-10,306138.89298300317,1959,3,10,6,past
1957-04-09,312585.7709151902,1957,4,9,7,past
1964-04-29,332304.40378667694,1964,4,29,8,past
1962-02-22,337701.88240204693,1962,2,22,9,past
1965-03-17,348178.21452609135,1965,3,17,10,past
1982-05-01,349878.60131559,1982,5,1,11,past
1984-03-29,369442.0104036199,1984,3,29,12,past
1978-04-07,386635.5624578846,1978,4,7,13,past
1962-04-05,387659.79643069964,1962,4,5,14,past
1965-03-24,399158.84551588114,1965,3,24,15,past
1959-02-18,418885.24101018254,1959,2,18,16,past
1948-04-25,423260.72989390587,1948,4,25,17,past
1967-04-08,425496.2234102204,1967,4,8,18,past
1958-03-14,430146.45198086824,1958,3,14,19,past
1985-03-24,434657.53289038345,1985,3,24,20,past
1966-04-05,437771.2230415845,1966,4,5,21,past
1984-03-17,443370.07043958065,1984,3,17,22,past
1974-02-16,452519.97014467075,1974,2,16,23,past
1974-05-05,453348.26348636206,1974,5,5,24,past
1960-03-03,456032.78895758174,1960,3,3,25,past
1980-04-25,461702.98451262823,1980,4,25,26,past
1982-04-05,466367.16168127646,1982,4,5,27,past
1956-03-28,468052.697134456,1956,3,28,28,past
1978-03-06,468226.20152755454,1978,3,6,29,past
1957-02-27,477435.602524174,1957,2,27,30,past
1998-04-27,106674.57735238572,1998,4,27,1,present
2008-03-04,150513.71465490185,2008,3,4,2,present
2006-02-10,162616.246766103,2006,2,10,3,present
1998-03-24,216152.9080553027,1998,3,24,4,present
2021-04-01,236587.34431106056,2021,4,1,5,present
1989-05-03,240498.0704712636,1989,5,3,6,present
2013-03-17,248648.2454996732,2013,3,17,7,present
2012-03-26,248883.0077158986,2012,3,26,8,present
2013-02-26,251359.02366443587,2013,2,26,9,present
2017-03-28,253630.46982948732,2017,3,28,10,present
1990-02-26,257027.78547382174,1990,2,26,11,present
1993-03-02,269984.9471865048,1993,3,2,12,present
1991-03-25,270807.98796876037,1991,3,25,13,present
1998-02-19,272293.02098742314,1998,2,19,14,present
2021-04-06,272888.9811145349,2021,4,6,15,present
2011-02-23,275008.1093547219,2011,2,23,16,present
1997-03-16,278100.14768775343,1997,3,16,17,present
1990-03-16,281320.5698253591,1990,3,16,18,present
2022-03-19,301252.88729753275,2022,3,19,19,present
1998-04-10,303788.7268469193,1998,4,10,20,present
2024-03-05,304755.5604339142,2024,3,5,21,present
2013-04-12,316864.82231506624,2013,4,12,22,present
2016-03-01,322052.45796444966,2016,3,1,23,present
2021-05-06,333748.6037547478,2021,5,6,24,present
2016-04-09,347519.78627377516,2016,4,9,25,present
1992-02-18,350894.8514012733,1992,2,18,26,present
2004-04-23,355338.58988126705,2004,4,23,27,present
2016-04-26,357126.5005653368,2016,4,26,28,present
2024-05-01,366842.6178036183,2024,5,1,29,present
2004-05-03,377827.6279440906,2004,5,3,30,present
