date,distance,year,month,day,rank,period
1981-04-16,117072.80577197556,1981,4,16,1,past
1960-02-26,143754.09107979122,1960,2,26,2,past
1983-04-17,160745.21733569243,1983,4,17,3,past
1979-03-24,176089.5839747417,1979,3,24,4,past
1973-04-23,182773.5826983162,1973,4,23,5,past
1964-04-29,205118.8156796319,1964,4,29,6,past
1982-05-01,212328.78828116096,1982,5,1,7,past
1984-03-29,237224.31815755315,1984,3,29,8,past
1962-02-22,242291.92986726854,1962,2,22,9,past
1962-04-05,253148.4078534031,1962,4,5,10,past
1984-03-17,255226.59775750095,1984,3,17,11,past
1959-03-10,259345.0951682316,1959,3,10,12,past
1957-04-09,280480.0843194097,1957,4,9,13,past
1980-04-25,284002.90383944253,1980,4,25,14,past
1985-03-24,294864.3811760306,1985,3,24,15,past
1998-04-27,78874.94827573671,1998,4,27,1,present
2008-03-04,92166.25276074804,2008,3,4,2,present
2006-02-10,127140.9532655853,2006,2,10,3,present
2013-03-17,130389.19952877598,2013,3,17,4,present
1998-03-24,143755.93197926105,1998,3,24,5,present
1990-02-26,158682.7121119062,1990,2,26,6,present
1993-03-02,167760.3270760819,1993,3,2,7,present
1990-03-16,176556.03684133544,1990,3,16,8,present
2017-03-28,177947.0582850664,2017,3,28,9,present
2013-02-26,182304.23560747146,2013,2,26,10,present
2024-03-05,184293.02858839455,2024,3,5,11,present
2012-03-26,199734.03116047982,2012,3,26,12,present
2021-05-06,201531.19440990698,2021,5,6,13,present
1992-02-18,202119.02824130334,1992,2,18,14,present
1989-05-03,202444.0426057636,1989,5,3,15,present
