date,distance,year,month,day,rank,period
1981-04-16,153513.82879775562,1981,4,16,1,past
1960-02-26,171167.08465502458,1960,2,26,2,past
1983-04-18,213110.47816164728,1983,4,18,3,past
1973-04-23,222509.09939832074,1973,4,23,4,past
1979-03-24,224488.13502937072,1979,3,24,5,past
1964-04-29,264649.2291947554,1964,4,29,6,past
1959-03-10,282141.1545538914,1959,3,10,7,past
1982-05-01,282697.41248446057,1982,5,1,8,past
1962-02-22,290665.37719500356,1962,2,22,9,past
1957-04-09,298439.2446755863,1957,4,9,10,past
1984-03-29,305874.4541709043,1984,3,29,11,past
1962-04-05,324105.9422684945,1962,4,5,12,past
1984-03-17,346936.766795348,1984,3,17,13,past
1965-03-24,349942.3874103268,1965,3,24,14,past
1965-03-17,351159.84270431934,1965,3,17,15,past
1948-04-25,352786.26026261883,1948,4,25,16,past
1959-02-18,361088.666799446,1959,2,18,17,past
1980-04-25,366759.91891066707,1980,4,25,18,past
1985-03-24,367053.6498067238,1985,3,24,19,past
1967-04-08,368820.59520471265,1967,4,8,20,past
1958-03-14,374501.90842489817,1958,3,14,21,past
1978-04-07,377115.5931188969,1978,4,7,22,past
1974-02-16,383684.76711054135,1974,2,16,23,past
1955-03-30,392247.5525066128,1955,3,30,24,past
1957-02-27,394550.8069785513,1957,2,27,25,past
1956-03-28,405031.07831765374,1956,3,28,26,past
1982-04-05,408369.0383501047,1982,4,5,27,past
1966-04-06,408387.57716726285,1966,4,6,28,past
1974-05-05,412885.98058970406,1974,5,5,29,past
1986-04-22,414589.1539876576,1986,4,22,30,past
1998-04-27,92169.77658636984,1998,4,27,1,present
2008-03-04,116491.8966465088,2008,3,4,2,present
2006-02-10,141496.86882170694,2006,2,10,3,present
1998-03-24,181416.56468144848,1998,3,24,4,present
2013-03-17,182248.0583713657,2013,3,17,5,present
1990-02-26,210594.8324469415,1990,2,26,6,present
2012-03-26,214521.65893616178,2012,3,26,7,present
2021-04-01,219255.21403774328,2021,4,1,8,present
1993-03-02,219350.37403679694,1993,3,2,9,present
2017-03-28,219353.6931052173,2017,3,28,10,present
2013-02-26,219439.49735111976,2013,2,26,11,present
1989-05-03,225005.32968508822,1989,5,3,12,present
1990-03-16,228427.4669792071,1990,3,16,13,present
1991-03-25,243985.3165327088,1991,3,25,14,present
2011-02-23,244830.33763523883,2011,2,23,15,present
2024-03-05,245050.00432074672,2024,3,5,16,present
2021-05-06,264928.773346224,2021,5,6,17,present
2013-04-12,266024.5563114696,2013,4,12,18,present
1998-02-19,266346.0409947302,1998,2,19,19,present
1998-04-10,270845.5491913308,1998,4,10,20,present
1992-02-18,270988.5195626516,1992,2,18,21,present
2021-04-06,275995.53966440505,2021,4,6,22,present
1997-03-16,288241.5272214973,1997,3,16,23,present
2016-03-01,294173.8962825088,2016,3,1,24,present
2024-05-01,305407.52167708764,2024,5,1,25,present
2016-04-09,307557.09481592034,2016,4,9,26,present
2022-03-19,308370.8599110825,2022,3,19,27,present
2016-04-26,309989.1157203151,2016,4,26,28,present
2004-05-03,320569.6733472962,2004,5,3,29,present
2004-04-23,336125.9086720891,2004,4,23,30,present
