date,distance,year,month,day,rank,period
1983-04-18,319762.50640428264,1983,4,18,1,past
1960-02-26,365404.65659549995,1960,2,26,2,past
1965-03-17,373528.3643943472,1965,3,17,3,past
1959-03-10,386428.8453639771,1959,3,10,4,past
1973-04-23,387847.47063655587,1973,4,23,5,past
1979-03-24,415233.740109201,1979,3,24,6,past
1981-04-16,439688.63805650355,1981,4,16,7,past
1978-04-07,441888.98588013963,1978,4,7,8,past
1957-04-13,444951.2483411998,1957,4,13,9,past
1974-02-09,456206.3847826818,1974,2,9,10,past
1966-04-05,482643.61016259785,1966,4,5,11,past
1962-02-22,482962.72269564646,1962,2,22,12,past
1962-04-05,553958.4236697177,1962,4,5,13,past
1984-03-29,556702.0795235584,1984,3,29,14,past
1978-03-06,569913.4067446382,1978,3,6,15,past
1965-03-24,571384.6939005989,1965,3,24,16,past
1967-04-10,588833.8075122164,1967,4,10,17,past
1981-03-22,607155.856004244,1981,3,22,18,past
1974-02-16,618046.1630954389,1974,2,16,19,past
1982-05-01,621929.9556657607,1982,5,1,20,past
1974-04-24,625710.3326418672,1974,4,24,21,past
1960-03-22,640994.1858366514,1960,3,22,22,past
1960-03-02,662440.6577871345,1960,3,2,23,past
1983-03-22,667289.3564759413,1983,3,22,24,past
1979-03-07,673830.7136894516,1979,3,7,25,past
1964-04-29,675714.3090317899,1964,4,29,26,past
1968-03-30,691440.5404518002,1968,3,30,27,past
1973-03-07,705412.4454857885,1973,3,7,28,past
1985-03-24,719431.7129355525,1985,3,24,29,past
1974-03-22,719743.7882529835,1974,3,22,30,past
1998-04-27,214098.3577102367,1998,4,27,1,present
2006-02-10,273524.04001276364,2006,2,10,2,present
1989-05-03,276446.0144069293,1989,5,3,3,present
1998-02-19,315786.3431573597,1998,2,19,4,present
2022-03-19,322515.26955891703,2022,3,19,5,present
1998-03-24,326035.91538444714,1998,3,24,6,present
2021-04-06,348439.45404685044,2021,4,6,7,present
1997-03-16,352314.18923408265,1997,3,16,8,present
2017-03-28,365179.7050299816,2017,3,28,9,present
2013-02-26,369848.9683119301,2013,2,26,10,present
2008-03-04,400498.8808732594,2008,3,4,11,present
1990-02-26,400700.33926665294,1990,2,26,12,present
2021-04-01,405457.55348571023,2021,4,1,13,present
1991-03-25,411663.43453758315,1991,3,25,14,present
1998-04-10,412089.8154339325,1998,4,10,15,present
2004-04-23,425577.2116815408,2004,4,23,16,present
2016-03-01,474709.1460349491,2016,3,1,17,present
1993-03-02,477715.9583927846,1993,3,2,18,present
2013-04-12,483618.6819275742,2013,4,12,19,present
2021-03-03,484330.8716026766,2021,3,3,20,present
2000-05-03,486315.656621748,2000,5,3,21,present
2012-04-23,499288.49609483697,2012,4,23,22,present
2011-02-23,534970.5634986474,2011,2,23,23,present
2024-03-05,540421.1549110755,2024,3,5,24,present
2012-03-26,546732.5672858785,2012,3,26,25,present
2004-05-02,551817.2169700494,2004,5,2,26,present
2019-03-14,554209.5507158575,2019,3,14,27,present
1998-02-10,580351.0833968624,1998,2,10,28,present
2014-02-24,582689.7382927679,2014,2,24,29,present
2000-03-03,603037.3855607711,2000,3,3,30,present
