date,distance,year,month,day,rank,period
1983-04-18,271572.7024365371,1983,4,18,1,past
1960-02-26,303028.80740146956,1960,2,26,2,past
1973-04-23,330335.3883664531,1973,4,23,3,past
1981-04-16,340956.72272670805,1981,4,16,4,past
1959-03-10,358022.68132003024,1959,3,10,5,past
1979-03-24,358160.09969559713,1979,3,24,6,past
1965-03-17,358771.33410592994,1965,3,17,7,past
1957-04-09,367868.96511839447,1957,4,9,8,past
1978-04-07,414468.7516905923,1978,4,7,9,past
1966-04-05,434236.4175216922,1966,4,5,10,past
1962-02-22,437286.6331667852,1962,2,22,11,past
1974-02-09,456428.3139097367,1974,2,9,12,past
1978-03-06,487849.51269775647,1978,3,6,13,past
1984-03-29,497397.35093259247,1984,3,29,14,past
1962-04-05,505569.6738998676,1962,4,5,15,past
1965-03-24,510032.55622726143,1965,3,24,16,past
1982-05-01,511195.803575711,1982,5,1,17,past
1964-04-29,533786.4583902288,1964,4,29,18,past
1967-04-10,537047.6511550165,1967,4,10,19,past
1960-03-03,549973.1767456459,1960,3,3,20,past
1974-02-16,570996.9718339749,1974,2,16,21,past
1985-03-24,594932.4333486523,1985,3,24,22,past
1959-02-18,600438.3040911299,1959,2,18,23,past
1974-04-24,600497.8444777519,1974,4,24,24,past
1960-03-22,602039.1978817848,1960,3,22,25,past
1982-04-05,602101.7901246243,1982,4,5,26,past
1979-03-07,612097.4841000787,1979,3,7,27,past
1981-03-22,612742.1513477686,1981,3,22,28,past
1973-03-08,613082.8115596711,1973,3,8,29,past
1974-05-05,618837.0476559001,1974,5,5,30,past
1998-04-27,155866.81319124045,1998,4,27,1,present
2006-02-10,228688.39956553438,2006,2,10,2,present
1989-05-03,265916.1508238227,1989,5,3,3,present
2008-03-04,280588.83736817125,2008,3,4,4,present
1998-03-24,288795.1629339141,1998,3,24,5,present
1998-02-19,292725.7348172253,1998,2,19,6,present
1997-03-16,296846.41468915157,1997,3,16,7,present
2021-04-06,301312.25503760035,2021,4,6,8,present
2021-04-01,306367.89976408373,2021,4,1,9,present
2022-03-19,307984.54292365344,2022,3,19,10,present
2013-02-26,320067.3486196836,2013,2,26,11,present
2017-03-28,324809.65564189083,2017,3,28,12,present
1991-03-25,339022.09886100894,1991,3,25,13,present
1990-02-26,350231.62869638,1990,2,26,14,present
1998-04-10,370861.9510498326,1998,4,10,15,present
1993-03-02,396922.1994197781,1993,3,2,16,present
2016-03-01,402711.49034345656,2016,3,1,17,present
2012-03-26,403200.24835609895,2012,3,26,18,present
2004-04-23,404634.3043416915,2004,4,23,19,present
2011-02-23,409756.78876960033,2011,2,23,20,present
2013-04-12,415703.3385053664,2013,4,12,21,present
2024-03-05,443531.2512566794,2024,3,5,22,present
1990-03-16,452079.299710348,1990,3,16,23,present
2021-03-03,455543.3082995535,2021,3,3,24,present
2013-03-17,456250.3749586898,2013,3,17,25,present
2000-05-03,481792.1599437219,2000,5,3,26,present
2019-03-14,487839.02187339903,2019,3,14,27,present
2016-04-09,498398.0923998715,2016,4,9,28,present
2004-05-02,510170.29005859926,2004,5,2,29,present
2012-04-23,513002.8441503608,2012,4,23,30,present
