date,distance,year,month,day,rank,period
1960-03-10,175990.48533966107,1960,3,10,1,past
1979-03-22,189442.58867862914,1979,3,22,2,past
1977-01-28,226036.78545318486,1977,1,28,3,past
1967-01-17,256999.2998550967,1967,1,17,4,past
1984-12-25,257939.9249212969,1984,12,25,5,past
1967-03-14,285661.10855241766,1967,3,14,6,past
1971-01-09,296732.24215547397,1971,1,9,7,past
1972-01-02,316003.67826209555,1972,1,2,8,past
1956-01-12,321776.53159451764,1956,1,12,9,past
1965-01-13,330002.497894675,1965,1,13,10,past
1970-01-23,336770.0390064807,1970,1,23,11,past
1957-01-12,358120.9940071193,1957,1,12,12,past
1974-02-11,361228.7693553635,1974,2,11,13,past
1961-03-04,380233.8809198428,1961,3,4,14,past
1966-02-11,380576.2211190595,1966,2,11,15,past
1956-01-05,388314.1071660286,1956,1,5,16,past
1970-03-15,396522.2255003968,1970,3,15,17,past
1980-03-12,406284.00256825465,1980,3,12,18,past
1986-02-28,421354.9557558388,1986,2,28,19,past
1978-02-02,427018.6093398065,1978,2,2,20,past
1982-01-25,429381.5611255059,1982,1,25,21,past
1959-12-29,431047.9934527755,1959,12,29,22,past
1985-03-20,452499.3652696257,1985,3,20,23,past
1974-01-22,476081.5692906825,1974,1,22,24,past
1984-01-31,489343.0012769808,1984,1,31,25,past
1955-01-20,491785.4497882105,1955,1,20,26,past
1972-03-24,495327.168407715,1972,3,24,27,past
1964-02-15,497816.0191094592,1964,2,15,28,past
1958-02-23,506369.46861659293,1958,2,23,29,past
1960-12-27,515173.80506371474,1960,12,27,30,past
1993-02-25,157984.54552790732,1993,2,25,1,present
2006-02-23,161497.49715827228,2006,2,23,2,present
2017-03-08,201407.5448130359,2017,3,8,3,present
2013-03-13,219811.63427152904,2013,3,13,4,present
2015-01-01,223254.53983858315,2015,1,1,5,present
2020-03-10,226614.40342518603,2020,3,10,6,present
2013-02-23,231331.83626045246,2013,2,23,7,present
2004-02-25,251734.67673396133,2004,2,25,8,present
1989-02-07,267299.83914683195,1989,2,7,9,present
2012-03-13,277202.8683485066,2012,3,13,10,present
1996-02-01,304091.68331613194,1996,2,1,11,present
1997-03-15,315537.42074254033,1997,3,15,12,present
2001-03-21,315785.18118115445,2001,3,21,13,present
2007-01-22,333943.4639920182,2007,1,22,14,present
1988-01-30,334097.121501905,1988,1,30,15,present
2012-12-31,349354.34878195176,2012,12,31,16,present
2004-02-12,358990.0808215666,2004,2,12,17,present
2011-02-22,364523.42977983557,2011,2,22,18,present
2012-12-25,370394.0459335722,2012,12,25,19,present
1994-03-18,374255.14390717895,1994,3,18,20,present
1989-03-23,385585.2495912806,1989,3,23,21,present
2010-03-05,399717.9230658351,2010,3,5,22,present
2000-03-13,412288.1224828483,2000,3,13,23,present
2023-02-16,421956.91213951755,2023,2,16,24,present
1994-03-02,423963.45914982975,1994,3,2,25,present
2024-03-03,424741.5409698671,2024,3,3,26,present
2022-03-18,439468.4505506967,2022,3,18,27,present
1990-03-14,453084.5411944366,1990,3,14,28,present
2019-03-01,457707.5658997746,2019,3,1,29,present
2000-02-25,461563.00374071405,2000,2,25,30,present
