date,distance,year,month,day,rank,period
1960-03-10,227065.28948609845,1960,3,10,1,past
1979-03-22,231155.4064422402,1979,3,22,2,past
1977-01-28,271365.65903620335,1977,1,28,3,past
1967-01-17,311727.17962537747,1967,1,17,4,past
1971-01-09,327276.6262361747,1971,1,9,5,past
1984-12-25,331519.6952172198,1984,12,25,6,past
1970-01-23,342070.7109939207,1970,1,23,7,past
1972-01-02,349374.80642071203,1972,1,2,8,past
1956-01-12,366777.85183455655,1956,1,12,9,past
1965-01-13,371171.4217566766,1965,1,13,10,past
1967-03-14,375266.9645237568,1967,3,14,11,past
1957-01-12,382212.8928717204,1957,1,12,12,past
1974-02-11,386834.8472540068,1974,2,11,13,past
1966-02-11,443790.7248758658,1966,2,11,14,past
1974-01-22,449677.7730479415,1974,1,22,15,past
1961-03-04,467127.2756749783,1961,3,4,16,past
1978-02-02,476540.65232864127,1978,2,2,17,past
1970-03-12,477654.20147742407,1970,3,12,18,past
1956-01-05,484311.2289418865,1956,1,5,19,past
1980-03-12,493358.9215888241,1980,3,12,20,past
1985-03-20,498311.26623323775,1985,3,20,21,past
1986-02-28,500627.403864302,1986,2,28,22,past
1972-03-24,501996.59328195173,1972,3,24,23,past
1982-01-25,505054.06343534915,1982,1,25,24,past
1959-12-29,517340.3980289527,1959,12,29,25,past
1960-12-27,538208.7449731854,1960,12,27,26,past
1964-02-15,540872.1104244208,1964,2,15,27,past
1959-01-04,563355.4354780437,1959,1,4,28,past
1955-01-20,581117.3749096819,1955,1,20,29,past
1978-03-03,588027.6226397463,1978,3,3,30,past
2006-02-23,199362.49810971142,2006,2,23,1,present
1993-02-25,219355.77612595374,1993,2,25,2,present
2017-03-08,228900.2605050438,2017,3,8,3,present
2015-01-01,257931.5488417056,2015,1,1,4,present
2013-03-13,264331.391165097,2013,3,13,5,present
2020-03-10,264480.358904717,2020,3,10,6,present
2013-02-23,273213.2609091669,2013,2,23,7,present
1989-02-07,306151.5290367791,1989,2,7,8,present
1996-02-01,327339.32444409654,1996,2,1,9,present
1997-03-15,342610.0919723726,1997,3,15,10,present
2004-02-24,346422.43107908015,2004,2,24,11,present
2001-03-21,348831.3940316237,2001,3,21,12,present
1989-03-23,349343.92769273045,1989,3,23,13,present
2012-12-31,359796.1008734914,2012,12,31,14,present
1988-01-30,363106.0641376406,1988,1,30,15,present
2007-01-22,376922.23640101467,2007,1,22,16,present
2012-03-13,381053.4927736225,2012,3,13,17,present
2012-12-25,382634.8300126187,2012,12,25,18,present
2010-03-05,410926.7116101612,2010,3,5,19,present
2011-02-22,443108.96238344815,2011,2,22,20,present
2004-02-12,451251.4628994545,2004,2,12,21,present
1994-03-18,452928.37125304254,1994,3,18,22,present
2000-03-13,454890.54532895016,2000,3,13,23,present
1993-01-01,464863.45570032415,1993,1,1,24,present
2022-03-18,472995.32679838117,2022,3,18,25,present
1990-03-14,478565.4432012031,1990,3,14,26,present
1998-02-02,483456.0214132009,1998,2,2,27,present
1994-03-02,509743.4447789085,1994,3,2,28,present
2022-02-20,516966.26101798244,2022,2,20,29,present
2023-02-16,529525.9192489461,2023,2,16,30,present
