date,distance,year,month,day,rank,period
1979-03-22,297377.85966435476,1979,3,22,1,past
1960-03-10,299918.3085243738,1960,3,10,2,past
1977-01-28,345493.20325703983,1977,1,28,3,past
1970-01-23,357595.5204823877,1970,1,23,4,past
1971-01-09,371630.1619024669,1971,1,9,5,past
1972-01-04,383397.5492533217,1972,1,4,6,past
1967-01-17,395676.0860912334,1967,1,17,7,past
1957-01-12,406733.96745775157,1957,1,12,8,past
1974-01-22,425711.27211773215,1974,1,22,9,past
1956-01-12,431665.2396068522,1956,1,12,10,past
1965-01-13,464654.0649715898,1965,1,13,11,past
1984-12-25,472424.6249954179,1984,12,25,12,past
1974-02-11,473796.63564655004,1974,2,11,13,past
1970-03-12,503009.31046842434,1970,3,12,14,past
1972-03-24,506636.8967769135,1972,3,24,15,past
1967-03-14,520824.70406862785,1967,3,14,16,past
1986-03-01,528947.8824370638,1986,3,1,17,past
1959-01-04,546442.3423137914,1959,1,4,18,past
1966-02-11,558112.6608939298,1966,2,11,19,past
1985-03-20,561513.7944401515,1985,3,20,20,past
1960-12-27,584453.9687829618,1960,12,27,21,past
1978-02-02,588286.0240105733,1978,2,2,22,past
1964-02-15,589106.5893118398,1964,2,15,23,past
1980-03-12,598988.3263142718,1980,3,12,24,past
1961-03-04,613461.7512450017,1961,3,4,25,past
1974-12-30,617203.4956425659,1974,12,30,26,past
1982-01-25,622498.1367025302,1982,1,25,27,past
1958-02-14,637085.7892868597,1958,2,14,28,past
1956-01-05,639155.6580346276,1956,1,5,29,past
1973-02-22,648375.8433762158,1973,2,22,30,past
2006-02-23,268451.78249802644,2006,2,23,1,present
2017-03-08,286287.6357541057,2017,3,8,2,present
2015-01-01,313407.4342419086,2015,1,1,3,present
2020-03-10,321692.99948096764,2020,3,10,4,present
1989-03-23,322808.4298289716,1989,3,23,5,present
2013-02-23,325689.1019452888,2013,2,23,6,present
2013-03-13,341315.13253471715,2013,3,13,7,present
1997-03-15,383241.15846540726,1997,3,15,8,present
2012-12-31,384731.68788888975,2012,12,31,9,present
2012-12-25,385118.2244013506,2012,12,25,10,present
1989-02-07,386368.35285724135,1989,2,7,11,present
1993-02-24,389569.9072762246,1993,2,24,12,present
1996-02-01,391525.0121113436,1996,2,1,13,present
1988-01-30,400451.7851664426,1988,1,30,14,present
2012-03-11,419043.24259368744,2012,3,11,15,present
2010-03-05,427663.38946515316,2010,3,5,16,present
2001-03-21,436116.87206818134,2001,3,21,17,present
1993-03-01,486922.1897225335,1993,3,1,18,present
1998-02-02,500088.3029972117,1998,2,2,19,present
2011-03-14,500734.2390086056,2011,3,14,20,present
1993-01-01,501005.704798855,1993,1,1,21,present
2007-01-22,509664.22917392274,2007,1,22,22,present
2004-02-11,521810.28105926455,2004,2,11,23,present
2000-03-13,540971.6188405943,2000,3,13,24,present
1994-03-01,542759.3039979523,1994,3,1,25,present
2004-02-24,546698.614478718,2004,2,24,26,present
2022-03-18,548497.9886597468,2022,3,18,27,present
2003-03-23,559130.8819658562,2003,3,23,28,present
1990-03-14,559773.4992037881,1990,3,14,29,present
1994-03-18,561167.6102637665,1994,3,18,30,present
