date,distance,year,month,day,rank,period
1960-03-10,247013.96767920232,1960,3,10,1,past
1979-03-22,248314.89870400494,1979,3,22,2,past
1977-01-28,291193.0142775002,1977,1,28,3,past
1967-01-17,333367.43464508926,1967,1,17,4,past
1971-01-09,339882.86987089674,1971,1,9,5,past
1970-01-23,345258.90247271396,1970,1,23,6,past
1984-12-25,365305.12675238674,1984,12,25,7,past
1972-01-02,366781.36905439774,1972,1,2,8,past
1956-01-12,384825.8900740532,1956,1,12,9,past
1957-01-12,390013.17567443463,1957,1,12,10,past
1965-01-13,392844.89579780545,1965,1,13,11,past
1974-02-11,405011.29746321496,1974,2,11,12,past
1967-03-14,414134.29897155566,1967,3,14,13,past
1974-01-22,442127.27599233016,1974,1,22,14,past
1966-02-11,472146.46152563667,1966,2,11,15,past
1970-03-12,485305.6711257648,1970,3,12,16,past
1978-02-02,501867.53082506254,1978,2,2,17,past
1972-03-24,503659.5079883434,1972,3,24,18,past
1961-03-04,505458.86152057763,1961,3,4,19,past
1985-03-20,516063.3106993076,1985,3,20,20,past
1956-01-05,524100.1149620592,1956,1,5,21,past
1980-03-12,525037.7560094933,1980,3,12,22,past
1986-03-01,530608.3408035894,1986,3,1,23,past
1982-01-25,536105.7835751792,1982,1,25,24,past
1960-12-27,548853.057691681,1960,12,27,25,past
1959-12-29,553718.6837514389,1959,12,29,26,past
1964-02-15,555434.6900090994,1964,2,15,27,past
1959-01-04,556723.825919153,1959,1,4,28,past
1978-03-03,613672.7902958185,1978,3,3,29,past
1958-02-14,620868.2607841309,1958,2,14,30,past
2006-02-23,216860.03080268877,2006,2,23,1,present
2017-03-08,242456.19869900317,2017,3,8,2,present
1993-02-25,254533.714699855,1993,2,25,3,present
2015-01-01,272739.3945289449,2015,1,1,4,present
2020-03-10,279826.40868384944,2020,3,10,5,present
2013-03-13,282979.3089824323,2013,3,13,6,present
2013-02-23,288730.69770679134,2013,2,23,7,present
1989-02-07,325602.13823430805,1989,2,7,8,present
1989-03-23,339014.17219988495,1989,3,23,9,present
1996-02-01,339466.8107818893,1996,2,1,10,present
1997-03-15,353696.91159947705,1997,3,15,11,present
2012-12-31,366350.629348002,2012,12,31,12,present
2001-03-21,366944.8978186236,2001,3,21,13,present
1988-01-30,374077.07428049983,1988,1,30,14,present
2004-02-24,384037.3612394497,2004,2,24,15,present
2012-12-25,385284.5676750825,2012,12,25,16,present
2012-03-11,391714.8756834048,2012,3,11,17,present
2007-01-22,404009.01052332285,2007,1,22,18,present
2010-03-05,415381.72234227945,2010,3,5,19,present
1993-01-01,470045.73310125904,1993,1,1,20,present
2000-03-13,474852.7589655734,2000,3,13,21,present
1994-03-18,483351.1824210155,1994,3,18,22,present
2011-02-22,485044.21002324123,2011,2,22,23,present
2004-02-12,488386.9534764124,2004,2,12,24,present
1998-02-02,489280.85225197114,1998,2,2,25,present
2022-03-18,490341.0068146116,2022,3,18,26,present
1990-03-14,494688.0191859677,1990,3,14,27,present
2022-02-20,526974.3081297325,2022,2,20,28,present
2011-03-14,528328.5052615546,2011,3,14,29,present
1994-03-01,535975.805344665,1994,3,1,30,present
