date,distance,year,month,day,rank,period
1960-03-10,203518.81375638524,1960,3,10,1,past
1979-03-22,211560.53770161283,1979,3,22,2,past
1977-01-28,249294.4867355202,1977,1,28,3,past
1967-01-17,286537.06431259017,1967,1,17,4,past
1984-12-25,295480.42459980224,1984,12,25,5,past
1971-01-09,312605.03872828616,1971,1,9,6,past
1972-01-02,331727.4790160186,1972,1,2,7,past
1967-03-14,331804.2959763439,1967,3,14,8,past
1970-01-23,339169.2095655758,1970,1,23,9,past
1956-01-12,345653.3183407511,1956,1,12,10,past
1965-01-13,349506.1930263558,1965,1,13,11,past
1974-02-11,371163.10616889433,1974,2,11,12,past
1957-01-12,371860.44943249086,1957,1,12,13,past
1966-02-11,413004.52555382723,1966,2,11,14,past
1961-03-04,424762.3575020869,1961,3,4,15,past
1956-01-05,439154.49154549197,1956,1,5,16,past
1978-02-02,451079.0776435982,1978,2,2,17,past
1980-03-12,454026.35124614905,1980,3,12,18,past
1970-03-15,456121.2680219808,1970,3,15,19,past
1974-01-22,460302.20741889253,1974,1,22,20,past
1986-02-28,462494.17146557465,1986,2,28,21,past
1982-01-25,469484.96228567616,1982,1,25,22,past
1959-12-29,476052.42550943117,1959,12,29,23,past
1985-03-20,477253.5937500067,1985,3,20,24,past
1972-03-24,499392.6234284483,1972,3,24,25,past
1964-02-15,522108.45255419024,1964,2,15,26,past
1960-12-27,526859.1336287323,1960,12,27,27,past
1955-01-20,537887.4430109664,1955,1,20,28,past
1978-03-03,557406.7695872555,1978,3,3,29,past
1984-01-31,563695.62581539,1984,1,31,30,past
2006-02-23,180590.54592193817,2006,2,23,1,present
1993-02-25,186961.0135716109,1993,2,25,2,present
2017-03-08,214935.63984129974,2017,3,8,3,present
2015-01-01,241191.92255471987,2015,1,1,4,present
2013-03-13,243316.4828848124,2013,3,13,5,present
2020-03-10,246732.04452837992,2020,3,10,6,present
2013-02-23,254137.07506672604,2013,2,23,7,present
1989-02-07,286196.9317571757,1989,2,7,8,present
2004-02-25,310840.875406828,2004,2,25,9,present
1996-02-01,315750.9079182319,1996,2,1,10,present
1997-03-15,329846.23870728374,1997,3,15,11,present
2001-03-21,331266.77197212534,2001,3,21,12,present
2012-03-13,331545.22139668965,2012,3,13,13,present
1988-01-30,349726.16424843686,1988,1,30,14,present
2007-01-22,352758.1962274943,2007,1,22,15,present
2012-12-31,353471.9133571199,2012,12,31,16,present
1989-03-23,364220.88130715984,1989,3,23,17,present
2012-12-25,377862.37727372727,2012,12,25,18,present
2011-02-22,401473.13904830004,2011,2,22,19,present
2010-03-05,405758.6277624799,2010,3,5,20,present
2004-02-12,408192.03713396547,2004,2,12,21,present
1994-03-18,416687.20620133565,1994,3,18,22,present
2000-03-13,433884.74135753507,2000,3,13,23,present
2022-03-18,455587.0953630417,2022,3,18,24,present
1993-01-01,463027.77703911706,1993,1,1,25,present
1990-03-14,464304.10431773245,1990,3,14,26,present
1994-03-02,467270.6889657446,1994,3,2,27,present
1998-02-02,475864.0528717371,1998,2,2,28,present
2023-02-16,478063.09824507305,2023,2,16,29,present
2024-03-03,492649.743881619,2024,3,3,30,present
