date,distance,year,month,day,rank,period
1960-03-10,109543.15583291846,1960,3,10,1,past
1979-03-22,139652.24099969905,1979,3,22,2,past
1984-12-25,182096.33245300467,1984,12,25,3,past
1967-01-17,183140.4592190057,1967,1,17,4,past
1977-01-28,183544.2015418799,1977,1,28,5,past
1967-03-14,202091.41224601248,1967,3,14,6,past
1971-01-08,252956.56303238243,1971,1,8,7,past
1956-01-05,271383.3577855741,1956,1,5,8,past
1956-01-12,272488.77237453166,1956,1,12,9,past
1970-03-15,274705.09572252765,1970,3,15,10,past
1980-03-12,290748.25541443756,1980,3,12,11,past
1970-01-24,298265.3840013484,1970,1,24,12,past
1961-03-04,299192.4726293477,1961,3,4,13,past
1972-01-02,307649.7750371893,1972,1,2,14,past
1965-01-13,313285.22084972897,1965,1,13,15,past
1957-01-12,316400.2359372771,1957,1,12,16,past
1966-02-11,316459.05881229247,1966,2,11,17,past
1984-01-31,322609.22928419744,1984,1,31,18,past
1986-02-28,333022.98273731035,1986,2,28,19,past
1982-01-25,338721.67910193186,1982,1,25,20,past
1959-12-29,342065.42719819193,1959,12,29,21,past
1978-03-04,362200.8858286861,1978,3,4,22,past
1985-03-23,370283.875298549,1985,3,23,23,past
1974-02-11,378385.86296131136,1974,2,11,24,past
1978-02-02,392623.83365925675,1978,2,2,25,past
1955-01-20,396604.3318372857,1955,1,20,26,past
1958-02-23,399527.93048046547,1958,2,23,27,past
1949-12-26,409358.3643636039,1949,12,26,28,past
1964-02-15,426438.1240939296,1964,2,15,29,past
1964-03-05,454934.1928048052,1964,3,5,30,past
1993-02-25,107099.27379570268,1993,2,25,1,present
2006-02-23,126721.32231510557,2006,2,23,2,present
2004-02-25,153541.23629530257,2004,2,25,3,present
2012-03-13,165434.84941496764,2012,3,13,4,present
2013-03-13,169588.04220902827,2013,3,13,5,present
2013-02-23,178734.8704522569,2013,2,23,6,present
2020-03-10,180879.61895675265,2020,3,10,7,present
2017-03-08,181741.383514238,2017,3,8,8,present
2015-01-01,192317.0028235756,2015,1,1,9,present
1989-02-07,241444.71568896263,1989,2,7,10,present
2004-02-12,246074.20446584016,2004,2,12,11,present
1988-01-29,261789.54094607558,1988,1,29,12,present
1996-02-01,273427.6273615434,1996,2,1,13,present
1994-03-18,274169.40780957125,1994,3,18,14,present
2024-03-03,281838.77832547127,2024,3,3,15,present
1997-03-15,284214.5095689842,1997,3,15,16,present
2023-02-16,306032.61461797584,2023,2,16,17,present
2019-03-01,306818.22103772365,2019,3,1,18,present
2001-03-21,308780.4793442108,2001,3,21,19,present
2007-01-22,321182.5529881334,2007,1,22,20,present
2012-12-26,332853.1849241172,2012,12,26,21,present
2011-02-22,333238.5420075103,2011,2,22,22,present
1994-03-02,334911.58052480605,1994,3,2,23,present
2010-02-15,346384.2535117343,2010,2,15,24,present
2000-02-25,354032.661753338,2000,2,25,25,present
2012-12-31,365838.13492556586,2012,12,31,26,present
2000-03-13,373513.1137718918,2000,3,13,27,present
1993-01-09,374564.4798049603,1993,1,9,28,present
2002-03-19,383102.49634164246,2002,3,19,29,present
2017-02-06,383133.09658347064,2017,2,6,30,present
