date,distance,year,month,day,rank,period
1979-03-22,276256.77169870987,1979,3,22,1,past
1960-03-10,277978.04834583844,1960,3,10,2,past
1977-01-28,322994.4810268655,1977,1,28,3,past
1970-01-23,351732.20549662923,1970,1,23,4,past
1971-01-09,358924.2318219325,1971,1,9,5,past
1967-01-17,368531.93454779283,1967,1,17,6,past
1972-01-04,387592.298605812,1972,1,4,7,past
1957-01-12,400449.4728476678,1957,1,12,8,past
1956-01-12,412546.7367806901,1956,1,12,9,past
1984-12-25,424550.53346151847,1984,12,25,10,past
1974-01-22,432093.9695557045,1974,1,22,11,past
1965-01-13,432282.369146318,1965,1,13,12,past
1974-02-11,441697.8132308287,1974,2,11,13,past
1967-03-14,476453.37971019343,1967,3,14,14,past
1970-03-12,495902.73300316767,1970,3,12,15,past
1972-03-24,505533.68283158174,1972,3,24,16,past
1966-02-11,520469.07568294223,1966,2,11,17,past
1986-03-01,530428.4558399239,1986,3,1,18,past
1985-03-20,543122.7445690088,1985,3,20,19,past
1978-02-02,548704.5454788468,1978,2,2,20,past
1959-01-04,549943.8422001075,1959,1,4,21,past
1961-03-04,567973.9699787889,1961,3,4,22,past
1960-12-27,567977.5463243064,1960,12,27,23,past
1980-03-12,570326.0641931915,1980,3,12,24,past
1964-02-15,575891.8337323217,1964,2,15,25,past
1982-01-25,585945.7137693869,1982,1,25,26,past
1956-01-05,589449.7723021586,1956,1,5,27,past
1959-12-29,611360.0423623212,1959,12,29,28,past
1974-12-30,624914.9724843622,1974,12,30,29,past
1958-02-14,630637.6995731991,1958,2,14,30,past
2006-02-23,246346.60715590016,2006,2,23,1,present
2017-03-08,266677.9318765474,2017,3,8,2,present
2015-01-01,296359.002662866,2015,1,1,3,present
2020-03-10,304104.3646768379,2020,3,10,4,present
2013-02-23,311188.0049473031,2013,2,23,5,present
2013-03-13,314775.00791888975,2013,3,13,6,present
1989-03-23,327306.302184883,1989,3,23,7,present
1993-02-25,328552.42019904236,1993,2,25,8,present
1989-02-07,359787.9544638533,1989,2,7,9,present
1996-02-01,365311.87271740753,1996,2,1,10,present
1997-03-15,371089.40917029936,1997,3,15,11,present
2012-12-31,377302.88931756926,2012,12,31,12,present
2012-12-25,386536.4071529445,2012,12,25,13,present
1988-01-30,390028.75871463405,1988,1,30,14,present
2001-03-21,402640.0228280141,2001,3,21,15,present
2012-03-11,407102.9461180509,2012,3,11,16,present
2010-03-05,422503.96177407645,2010,3,5,17,present
2007-01-22,459464.5013436949,2007,1,22,18,present
2004-02-24,466066.3757184905,2004,2,24,19,present
1993-01-01,484946.3697664319,1993,1,1,20,present
1998-02-02,496605.5651532527,1998,2,2,21,present
2000-03-13,510808.93602595816,2000,3,13,22,present
2011-03-14,513874.92963060644,2011,3,14,23,present
2022-03-18,522124.7656555019,2022,3,18,24,present
2004-02-11,526302.3094820528,2004,2,11,25,present
1990-03-14,528387.0007083229,1990,3,14,26,present
1994-03-18,529562.4926399494,1994,3,18,27,present
1994-03-01,538558.9418396682,1994,3,1,28,present
2022-02-20,546648.1130048815,2022,2,20,29,present
2003-03-23,560135.2972441231,2003,3,23,30,present
