date,distance,year,month,day,rank,period
1960-03-10,144399.7975449614,1960,3,10,1,past
1979-03-22,165090.2663577332,1979,3,22,2,past
1977-01-28,203413.69716358854,1977,1,28,3,past
1984-12-25,219836.91736817925,1984,12,25,4,past
1967-01-17,222457.57087499072,1967,1,17,5,past
1967-03-14,240595.18908922662,1967,3,14,6,past
1971-01-09,282151.2600557299,1971,1,9,7,past
1956-01-12,296427.51262353995,1956,1,12,8,past
1972-01-02,306026.95406023157,1972,1,2,9,past
1965-01-13,316245.9867300878,1965,1,13,10,past
1970-01-24,320726.1574724834,1970,1,24,11,past
1956-01-05,331928.1196081374,1956,1,5,12,past
1970-03-15,334575.1077715396,1970,3,15,13,past
1961-03-04,336889.30985555646,1961,3,4,14,past
1957-01-12,339991.5056341818,1957,1,12,15,past
1993-02-25,131957.80274922267,1993,2,25,1,present
2006-02-23,143300.209571549,2006,2,23,2,present
2017-03-08,189659.8151623328,2017,3,8,3,present
2013-03-13,194533.34820371526,2013,3,13,4,present
2004-02-25,199433.2062352956,2004,2,25,5,present
2020-03-10,204458.85348317577,2020,3,10,6,present
2013-02-23,205483.11733197136,2013,2,23,7,present
2015-01-01,205931.4725248416,2015,1,1,8,present
2012-03-13,220443.434919218,2012,3,13,9,present
1989-02-07,251597.70287523596,1989,2,7,10,present
1996-02-01,290865.00581724977,1996,2,1,11,present
1997-03-15,300062.9657978333,1997,3,15,12,present
2004-02-12,304210.5036227845,2004,2,12,13,present
2001-03-21,305944.33701580536,2001,3,21,14,present
1988-01-30,317486.4633843798,1988,1,30,15,present
